abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
35654479458,,GUY MILES ROBERTS,Guy Roberts Boats and Building,Individual/Sole Trader,Woodstock,Derwent Valley,West and North West,TAS,7109,3010,House Construction,building_construction,ACT,15,80,60,75,85,90,90,85,75
18308002578,,CHRISTOPHER PETER JAMES REED,REVOLVE CONSTRUCTION & JOINERY,Individual/Sole Trader,Primrose Sands,Sorell,West and North West,TAS,7173,3010,House Construction,building_construction,ACT,4,80,60,75,85,90,90,85,75
87560649001,,NIKOLAS WOODWARD,Woodward Construction,Individual/Sole Trader,Blackmans Bay,Kingborough,South East,TAS,7052,3010,House Construction,building_construction,NON,0,80,60,75,85,90,90,85,75
65492657345,,JUSTIN STEPHEN BRESNEHAN,BRESNEHAN BUILDERS,Individual/Sole Trader,Kingston Beach,Hobart,South East,TAS,7050,3010,House Construction,building_construction,ACT,26,80,60,75,85,90,90,85,75
57684670510,,TIM LOCKLEY,All Build Carpentry & Joinery,Individual/Sole Trader,Claremont,Derwent Valley,South East,TAS,7011,3010,House Construction,building_construction,CAN,15,80,60,75,85,90,90,85,75
76793436595,,The Trustee for G & C CROWTHER FAMILY TRUST,CROWTHER BUILDERS PTY LTD,Discretionary Trading Trust,Aberdeen,Latrobe (Tas.),West and North West,TAS,7310,3010,House Construction,building_construction,ACT,18,80,60,75,90,95,90,90,75
16688448937,688448937,BUILDING GROUP APPRENTICESHIP SCHEME OPERATIONS PTY LTD,,Australian Private Company,Derwent Park,Glenorchy,Hobart,TAS,7009,3010,House Construction,building_construction,NON,0,80,60,75,90,95,90,90,75
28696271011,696271011,BUILDING & CONSTRUCTION SUPPLIES TAS PTY LTD,,Australian Private Company,Derwent Park,Glenorchy,Hobart,TAS,7009,3010,House Construction,building_construction,ACT,0,80,60,75,90,95,90,90,75
40110726081,,LUKE REECE FORSYTH,LUKE FORSYTH BUILDING,Individual/Sole Trader,West Scottsdale,Launceston,West and North West,TAS,7260,3010,House Construction,building_construction,CAN,5,80,60,75,85,90,90,85,75
21082928934,082928934,WILKINS CONSTRUCTION PTY LTD,,Australian Private Company,Dynnyrne,Hobart,Hobart,TAS,7005,3010,House Construction,building_construction,ACT,26,80,60,75,90,95,90,90,75
