abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
56719727283,,JUSTIN MARK ROBERTS,JR CONTRACTING TASMANIA,Individual/Sole Trader,Blackmans Bay,Kingborough,South East,TAS,7052,3109,Heavy & Civil Engineering,civil_contractors,ACT,1,95,60,65,100,95,100,90,85
54705773474,,DANNY JOHN BELLCHAMBERS,Bellchambers Contracting,Individual/Sole Trader,West Ulverstone,Kentish,West and North West,TAS,7315,3109,Heavy & Civil Engineering,civil_contractors,ACT,11,95,60,65,100,95,100,90,85
27271640439,,GREG STAN SHEA-BLOOMFIELD,shea contracting,Individual/Sole Trader,Warrane,Clarence,South East,TAS,7018,3109,Heavy & Civil Engineering,civil_contractors,NON,21,95,60,65,100,95,100,90,85
51065178707,065178707,BRANCH FABRICATIONS PTY LTD,B & M Branch Contracting,Australian Private Company,Blumont,Launceston,Launceston and North East,TAS,7260,3109,Heavy & Civil Engineering,civil_contractors,ACT,26,95,60,65,100,100,100,95,85
25851878142,,A.N STANFORD & W.T STANFORD,ABS CIVIL DRAFTING SERVICES,Family Partnership,Bellerive,Clarence,Hobart,TAS,7018,3109,Heavy & Civil Engineering,civil_contractors,ACT,5,95,60,65,100,100,100,95,85
91405429247,,ZANE CORY JOHNSON,BLUE HEAVEN CONTRACTING,Individual/Sole Trader,Wilmot,Latrobe (Tas.),West and North West,TAS,7310,3109,Heavy & Civil Engineering,civil_contractors,ACT,6,95,60,65,100,95,100,90,85
91055072047,055072047,DOUBLE - O - THREE PLASTER PTY LTD,DOUBLE-O-THREE CONTRACTING,Australian Private Company,Alanvale,Launceston,Launceston and North East,TAS,7248,3109,Heavy & Civil Engineering,civil_contractors,ACT,26,95,60,65,100,100,100,95,85
18461857537,,MATTHEW CHARLES MUIR,MC Muir Contracting,Individual/Sole Trader,West Scottsdale,Launceston,West and North West,TAS,7260,3109,Heavy & Civil Engineering,civil_contractors,ACT,8,95,60,65,100,95,100,90,85
73620867156,620867156,WOOLLEY CONTRACTING PTY. LTD.,PEG Campervan Hire,Australian Private Company,Ben Lomond,Break O'Day,Launceston and North East,TAS,7212,3109,Heavy & Civil Engineering,civil_contractors,ACT,8,95,60,65,100,100,100,95,85
44604637353,,ANDREW EDWARD GOURLEY,GOURLEY CONTRACTING,Individual/Sole Trader,Woolnorth,Circular Head,West and North West,TAS,7330,3109,Heavy & Civil Engineering,civil_contractors,ACT,20,95,60,65,100,95,100,90,85
