abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
98685001816,685001816,LUXURY CLEANING TASMANIA PTY LTD,Jim's Cleaning (Lutana),Australian Private Company,Dowsing Point,Glenorchy,Hobart,TAS,7010,7322,Building Cleaning Services,cleaning_restoration,ACT,1,70,85,80,55,80,85,90,70
15145832735,,A.L COWEN & M.A TAHIR,TASMANIAN CLEANING COMPANY,Family Partnership,Dowsing Point,Glenorchy,Hobart,TAS,7010,7322,Building Cleaning Services,cleaning_restoration,ACT,2,70,85,80,55,80,85,90,70
23703419842,,NURANJITH WALPOLA PATHIRANNEHELAGE,SJ CLEANING SERVICES,Individual/Sole Trader,Claremont,Derwent Valley,South East,TAS,7011,7322,Building Cleaning Services,cleaning_restoration,NON,2,70,85,80,50,75,85,85,70
75722681136,,NATASHA GUEST,Tash's Domestic and Commercial Cleaning Services,Individual/Sole Trader,Wivenhoe,Burnie,West and North West,TAS,7320,7322,Building Cleaning Services,cleaning_restoration,NON,4,70,85,80,50,75,85,85,70
15163761211,,AARON PETER MCKECHNIE,COAL RIVER ACREAGE AND PROPERTY MAINTENANCE,Individual/Sole Trader,Richmond,Clarence,West and North West,TAS,7025,7322,Building Cleaning Services,cleaning_restoration,NON,3,70,85,80,50,75,85,85,70
54690543223,690543223,RC2L SERVICES PTY LTD,Jim's Carpet Cleaning (Sorell),Australian Private Company,Clarendon Vale,Clarence,Hobart,TAS,7019,7322,Building Cleaning Services,cleaning_restoration,ACT,0,70,85,80,55,80,85,90,70
25607835164,,B.D BEVERIDGE & C.E BEVERIDGE,Bryon & Claire Beveridge,Family Partnership,Somerset,Waratah-Wynyard,West and North West,TAS,7322,7322,Building Cleaning Services,cleaning_restoration,ACT,16,70,85,80,55,80,85,90,70
53710380609,,FISII TALIA SAIBE LEMEKI TOA,CONNELLY LUXURY CLEANING SERVICES,Individual/Sole Trader,Wilmot,Latrobe (Tas.),West and North West,TAS,7310,7322,Building Cleaning Services,cleaning_restoration,ACT,1,70,85,80,50,75,85,85,70
23668364420,,ALISTAIR CHARLES BARBER,ACE Restoration Bodyworks,Individual/Sole Trader,Seven Mile Beach,Clarence,South East,TAS,7170,7322,Building Cleaning Services,cleaning_restoration,ACT,11,70,85,80,50,75,85,85,70
59852141339,,MATTHEW KURT WOOLLEY,CLEANVIZE CARPET CLEANING,Individual/Sole Trader,Tea Tree,Southern Midlands,West and North West,TAS,7017,7322,Building Cleaning Services,cleaning_restoration,CAN,3,70,85,80,50,75,85,85,70
