abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
63684598829,684598829,FLOLINK CONSULTING PTY LTD,,Australian Private Company,Cornelian Bay,Glenorchy,Hobart,TAS,7008,6960,Management and Related Consulting Services,consulting,ACT,1,45,90,95,40,80,25,85,85
90667580770,667580770,SASK RIVER BUSINESS ADVISORY PTY LTD,,Australian Private Company,Flagstaff Gully,Clarence,Hobart,TAS,7015,6960,Management and Related Consulting Services,consulting,ACT,3,45,90,95,40,80,25,85,85
14671064163,671064163,TASMANIAN LEGAL CONSULTANTS PTY LTD,,Australian Private Company,Campbell Town,Glamorgan-Spring Bay,South East,TAS,7210,6960,Management and Related Consulting Services,consulting,NON,2,40,85,90,35,75,20,80,80
35485584960,,STEPHEN GRANT HOLLIDAY,CARTOGRAPHIC CONSULTING SERVICES,Individual/Sole Trader,South Hobart,Hobart,South East,TAS,7004,6960,Management and Related Consulting Services,consulting,CAN,2,40,85,90,30,70,20,75,80
67870918973,,LEIGH ANTHONY SALTMARSH,LEIGH SALTMARSH CONSULTING ENGINEERS,Individual/Sole Trader,West Hobart,Hobart,South East,TAS,7000,6960,Management and Related Consulting Services,consulting,CAN,8,40,85,90,30,70,20,75,80
21877129258,,CAROLYN ANN CONWAY,Carolyn Conway Consulting Services,Individual/Sole Trader,Wilmot,Latrobe (Tas.),West and North West,TAS,7310,6960,Management and Related Consulting Services,consulting,NON,4,40,85,90,30,70,20,75,80
48812970386,,DEAN VERVAART,Dverv Safety Consultant,Individual/Sole Trader,Wellington Park,Derwent Valley,West and North West,TAS,7054,6960,Management and Related Consulting Services,consulting,ACT,14,45,90,95,35,75,25,80,85
18125833730,125833730,Wildspot Consulting Pty Ltd,gondwana films,Australian Private Company,Beaumaris,Northern Midlands,South East,TAS,7215,6960,Management and Related Consulting Services,consulting,ACT,18,45,90,95,40,80,25,85,85
29152830944,,MELINDA ANN MURZECKI-HINCE,Business Centsability,Individual/Sole Trader,Claremont,Derwent Valley,South East,TAS,7011,6960,Management and Related Consulting Services,consulting,ACT,20,45,90,95,35,75,25,80,85
18646626119,646626119,VINTEGRITY CONSULTING PTY LTD,,Australian Private Company,Blackstone Heights,Meander Valley,Launceston and North East,TAS,7250,6960,Management and Related Consulting Services,consulting,ACT,5,45,90,95,40,80,25,85,85
