abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
38911343713,,BRADLEY RYAN,EASTERN SHORE ELECTRICAL,Individual/Sole Trader,Warrane,Clarence,South East,TAS,7018,3421,Electrical Services,electrical,ACT,12,75,90,80,50,85,90,90,100
26151828787,151828787,Lane Electrical Services Pty Ltd,,Australian Private Company,Bangor,George Town,Launceston and North East,TAS,7267,3421,Electrical Services,electrical,ACT,14,75,90,80,55,90,90,95,100
59080422420,080422420,CAMPBELL WHITE ELECTRICAL TRAINING PTY LTD,,Australian Private Company,Blackstone Heights,Meander Valley,Launceston and North East,TAS,7250,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
76130820307,130820307,TASMANIAN ELECTRICAL SERVICES PTY LTD,,Australian Private Company,Bell Bay,George Town,Launceston and North East,TAS,7253,3421,Electrical Services,electrical,NON,18,75,90,80,55,90,90,95,100
39747463637,,The Trustee for Dickinson Family Trust,3-in-1 Electrical,Discretionary Trading Trust,Barretta,Derwent Valley,South East,TAS,7054,3421,Electrical Services,electrical,CAN,4,75,90,80,55,90,90,95,100
95009531435,009531435,CAMPBELL'S ELECTRICAL PTY. LIMITED,CAMPBELLS BETTA ELECTRICAL,Australian Private Company,Acton,Burnie,West and North West,TAS,7320,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
31376697501,,SCOTT BRIAN GREEN,SCOTT GREEN AUTO ELECTRICS,Individual/Sole Trader,Blackmans Bay,Kingborough,South East,TAS,7052,3421,Electrical Services,electrical,CAN,2,75,90,80,50,85,90,90,100
59009529739,009529739,TONY BROWN ELECTRICAL PTY. LTD.,TONY BROWN ELECTRICAL PTY LTD,Australian Private Company,Apslawn,Southern Midlands,South East,TAS,7190,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
67603097338,603097338,MCELWEE ELECTRICAL CONTRACTORS PTY LTD,,Australian Private Company,Breadalbane,Northern Midlands,Launceston and North East,TAS,7258,3421,Electrical Services,electrical,ACT,11,75,90,80,55,90,90,95,100
30117046040,,The Trustee for Holmes Family Trust,Fantastic Electrical,Discretionary Trading Trust,Campbell Town,Glamorgan-Spring Bay,South East,TAS,7210,3421,Electrical Services,electrical,ACT,4,75,90,80,55,90,90,95,100
