abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
88925265148,,SIMON HUGH MCCOACH,McCoach Plumbing,Individual/Sole Trader,West Launceston,Meander Valley,South East,TAS,7250,3411,Plumbing Services,plumbing,ACT,8,80,95,85,60,90,90,90,100
55692641133,692641133,PLUMBING WITH PURPOSE WA PTY LTD,,Australian Private Company,Acton,Burnie,West and North West,TAS,7320,3411,Plumbing Services,plumbing,ACT,0,80,95,85,65,95,90,95,100
92136411884,136411884,SQUIRES PLUMBING PTY. LTD.,Squires Plumbing,Australian Private Company,Derwent Park,Glenorchy,Hobart,TAS,7009,3411,Plumbing Services,plumbing,CAN,17,80,95,85,65,95,90,95,100
20497472831,,JED ALEXANDER THOMPSON,J THOMPSON PLUMBING & GAS,Individual/Sole Trader,Sandford,Clarence,West and North West,TAS,7020,3411,Plumbing Services,plumbing,ACT,3,80,95,85,60,90,90,90,100
27971914594,,K.J MILLER & M.J MILLER,Michael Miller & Kathy Miller,Family Partnership,Hadspen,Meander Valley,Launceston and North East,TAS,7290,3411,Plumbing Services,plumbing,ACT,14,80,95,85,65,95,90,95,100
90330379832,,ANDREW DESMOND GRAHAM,Grahams Plumbing and Excavation,Individual/Sole Trader,Westerway,West Coast,West and North West,TAS,7140,3411,Plumbing Services,plumbing,ACT,2,80,95,85,60,90,90,90,100
18607002442,607002442,JPT PROJECTS PTY LTD,DYNAMIC PLUMBING TASMANIA,Australian Private Company,Barretta,Derwent Valley,South East,TAS,7054,3411,Plumbing Services,plumbing,NON,10,80,95,85,65,95,90,95,100
68620055049,620055049,TIGER HEAD PTY. LTD.,HURLE PLUMBING,Australian Private Company,Carlton,Sorell,Hobart,TAS,7173,3411,Plumbing Services,plumbing,ACT,8,80,95,85,65,95,90,95,100
91510231399,,H & W VAN DAM,van dam plumbing,Family Partnership,Blackmans Bay,Kingborough,Hobart,TAS,7052,3411,Plumbing Services,plumbing,ACT,26,80,95,85,65,95,90,95,100
72610952746,610952746,TRUE SOUTH PLUMBING PTY LTD,,Australian Private Company,Derwent Park,Glenorchy,Hobart,TAS,7009,3411,Plumbing Services,plumbing,ACT,10,80,95,85,65,95,90,95,100
