abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
68009563357,009563357,A W HOLDINGS (TAS) PTY LIMITED,ASSOCIATED WELDING,Australian Private Company,Blackstone Heights,Meander Valley,Launceston and North East,TAS,7250,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,26,75,50,60,80,85,95,85,75
91375599340,,C.H NOTHROP & L.A SWAIN,S&N METAL FABRICATION,Family Partnership,Abbotsham,Kentish,West and North West,TAS,7315,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,1,75,50,60,80,85,95,85,75
27308454950,,JUSTIN SCOTT DIREEN,J DIREEN ENGINEERING & RIGGING,Individual/Sole Trader,Tea Tree,Southern Midlands,West and North West,TAS,7017,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,2,75,50,60,75,80,95,80,75
60354840440,,LUKE MICHAEL CAMPBELL,luke campbell's welding,Individual/Sole Trader,Wilburville,Northern Midlands,West and North West,TAS,7030,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,18,75,50,60,75,80,95,80,75
39659875411,659875411,OZ WELDING SUPPLIES PTY LTD,,Australian Private Company,Glen Dhu,Northern Midlands,Launceston and North East,TAS,7249,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,3,75,50,60,80,85,95,85,75
91857728604,,RHYS CHARLES BERECHREE,TEAR WELDING & FABRICATION,Individual/Sole Trader,Wilmot,Latrobe (Tas.),West and North West,TAS,7310,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,4,75,50,60,75,80,95,80,75
56201887883,,DAVID HARRY,HARRY'S WELDING SERVICE,Individual/Sole Trader,Western Creek,West Tamar,West and North West,TAS,7304,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,20,75,50,60,75,80,95,80,75
90224809373,,JUSTIN PAUL BROWN,UP THE CREEK WELDING,Individual/Sole Trader,Verona Sands,Kingborough,West and North West,TAS,7112,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,0,75,50,60,75,80,95,80,75
12326456878,,The Trustee for Jason E Amy Family Trust,Alien of Steel,Discretionary Trading Trust,Dowsing Point,Glenorchy,Hobart,TAS,7010,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,10,75,50,60,80,85,95,85,75
11082179191,082179191,APF WELDING PTY LTD,,Australian Private Company,Derwent Park,Glenorchy,Hobart,TAS,7009,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,26,75,50,60,80,85,95,85,75
