abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
42645632346,645632346,FONT PUBLISHING PTY LTD,Derwent Valley Gazette,Australian Private Company,Bathurst Street Po,Hobart,Hobart,TAS,7000,4621,Road Freight Transport,transport_logistics,ACT,5,95,60,65,85,90,75,90,80
67163692162,163692162,TASMANIAN HEAVY HAULAGE PTY LTD,,Australian Private Company,Derwent Park,Glenorchy,Hobart,TAS,7009,4621,Road Freight Transport,transport_logistics,ACT,13,95,60,65,85,90,75,90,80
85661664928,661664928,SHINGAR TRANSPORT PTY LTD,,Australian Private Company,Glen Dhu,Northern Midlands,Launceston and North East,TAS,7249,4621,Road Freight Transport,transport_logistics,ACT,3,95,60,65,85,90,75,90,80
44680639383,680639383,WEST COAST FREIGHT LINE PTY LTD,WEST COAST FREIGHT LINE,Australian Private Company,Black River,Kentish,West and North West,TAS,7321,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
80554178403,,SIMON M REID,S M Reid Bulk Haulage,Individual/Sole Trader,York Plains,Northern Midlands,West and North West,TAS,7120,4621,Road Freight Transport,transport_logistics,ACT,26,95,60,65,80,85,75,85,80
82682504525,682504525,TROMAN TRANSPORT SERVICES PTY LTD.,,Australian Private Company,Austins Ferry,Derwent Valley,Hobart,TAS,7011,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
88231271279,,MATTHEW NEIL JOHNSON,M&H JOHNSON TRANSPORT,Individual/Sole Trader,West Pine,Burnie,West and North West,TAS,7316,4621,Road Freight Transport,transport_logistics,ACT,6,95,60,65,80,85,75,85,80
69054338920,054338920,ESPLANADE TRANSPORT PTY. LTD.,ESPLANADE TRANSPORT PTY LTD,Australian Private Company,Abbotsham,Kentish,West and North West,TAS,7315,4621,Road Freight Transport,transport_logistics,CAN,25,90,55,60,80,85,70,85,75
20672298716,672298716,FLAT TOP EXCAVATION & TRANSPORT PTY LTD,,Australian Private Company,Andover,Northern Midlands,South East,TAS,7120,4621,Road Freight Transport,transport_logistics,ACT,2,95,60,65,85,90,75,90,80
13635070264,,PAUL MCKERCHER,TAZCOOL Transport Services,Individual/Sole Trader,Rosevears,Meander Valley,West and North West,TAS,7277,4621,Road Freight Transport,transport_logistics,ACT,17,95,60,65,80,85,75,85,80
