abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
28060638548,060638548,FAR EAST ROCKMAN HOTELS (AUSTRALIA) PTY LIMITED,FAR EAST ROCKMAN HOTELS AUSTRALIA PTY LTD,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3004,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
63696738235,696738235,DOG & CROW HOTEL PTY LTD,,Australian Private Company,Waaia,Moira,Shepparton,VIC,3637,4400,Accommodation,accommodation,ACT,0,55,75,90,50,90,55,80,65
12602357513,602357513,LAKES ENTRANCE ACCOMMODATION PTY. LTD.,Marina Motel Rooms,Australian Private Company,Kalimna,East Gippsland,Latrobe - Gippsland,VIC,3909,4400,Accommodation,accommodation,ACT,11,55,75,90,50,90,55,80,65
43729318203,,BOOTH FAMILY TRUST,TAYLORS LAKES FAMILY HOTEL,Discretionary Trading Trust,Keilor Downs,Brimbank,Melbourne - West,VIC,3038,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
21655330760,655330760,12 APOSTLES RESORT FUNDER PTY LTD,,Australian Private Company,Burnley,Yarra,Melbourne - Inner,VIC,3121,4400,Accommodation,accommodation,NON,4,50,70,85,45,85,50,75,60
12150329712,150329712,PAUL BROTHER PTY. LTD.,CHADSTONE EXECUTIVE MOTEL,Australian Private Company,Hughesdale,Monash,Melbourne - South East,VIC,3166,4400,Accommodation,accommodation,ACT,14,55,75,90,50,90,55,80,65
27304883886,,JAMES ALEXANDER WEBB,TOOLEEN GENERAL STORE & POST OFFICE,Individual/Sole Trader,Woodstock On Loddon,Mount Alexander,Warrnambool and South West,VIC,3551,4400,Accommodation,accommodation,ACT,25,55,75,90,45,85,55,75,65
50126307653,,The Trustee for QUAST FAMILY TRUST,LENREE PTY LTD,Discretionary Trading Trust,Allans Flat,Albury,Hume,VIC,3691,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
34001270775,001270775,MOTEL FURNISHERS PTY LTD,,Australian Private Company,Point Lonsdale,Greater Geelong,Geelong,VIC,3225,4400,Accommodation,accommodation,CAN,26,50,70,85,45,85,50,75,60
17669477052,669477052,COMPENSATION SCHEME OF LAST RESORT LIMITED,,Australian Public Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,4400,Accommodation,accommodation,ACT,2,55,75,90,50,90,55,80,65
