abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
51604428480,604428480,NEXUS ACCOUNTING & TAX SOLUTIONS PTY LTD,IntegrityOne Accountants,Australian Private Company,Croydon,Maroondah,Melbourne - Outer East,VIC,3136,6923,Accounting Services,accounting,ACT,11,35,95,90,30,85,20,70,75
41805607304,,The Trustee for 72 Accounting Unit Trust,,Discretionary Trading Trust,Kooyong,Stonnington,Melbourne - Inner South,VIC,3144,6923,Accounting Services,accounting,ACT,10,35,95,90,30,85,20,70,75
95966212516,,HORST GUENTER ERNST WEESKE,ERNST WEESKE FCPA,Individual/Sole Trader,Doncaster,Manningham,Mornington Peninsula,VIC,3108,6923,Accounting Services,accounting,CAN,26,30,90,85,20,75,15,60,70
84063530414,063530414,ROBMARG PTY. LTD.,MA GARDNER ACCOUNTING & TAXATION SERVICES,Australian Private Company,Mount Martha,Mornington Peninsula,Mornington Peninsula,VIC,3934,6923,Accounting Services,accounting,NON,26,30,90,85,25,80,15,65,70
89676339727,676339727,VERITAS ACCOUNTANTS AND MANAGEMENT SERVICES PTY LTD,EAST GIPPSLAND GRANNY FLATS,Australian Private Company,Bairnsdale,East Gippsland,Latrobe - Gippsland,VIC,3875,6923,Accounting Services,accounting,ACT,2,35,95,90,30,85,20,70,75
92302790064,,The Trustee for FOR BAT BONESS ACCOUNTING & TAX TRUST,BAT-BONESS ACCOUNTING AND TAX,Discretionary Trading Trust,Bareena,Greater Geelong,Geelong,VIC,3220,6923,Accounting Services,accounting,ACT,19,35,95,90,30,85,20,70,75
77859265467,,MICHAEL KEVIN GALLAGHER,MICHAEL GALLAGHER ACCOUNTING & TAXATION,Individual/Sole Trader,Moonee Ponds,Moonee Valley,Mornington Peninsula,VIC,3039,6923,Accounting Services,accounting,ACT,26,35,95,90,25,80,20,65,75
33612143638,612143638,PROTAX ACCOUNTANTS PTY LTD,,Australian Private Company,Mulgrave,Monash,Melbourne - South East,VIC,3170,6923,Accounting Services,accounting,ACT,10,35,95,90,30,85,20,70,75
57613370086,613370086,TAXPOINT ACCOUNTING PTY LTD,,Australian Private Company,Ashburton,Stonnington,Melbourne - South East,VIC,3147,6923,Accounting Services,accounting,ACT,6,35,95,90,30,85,20,70,75
74826160937,,KRISTINA FREDA BONADDIO,OPTIMUM ACCOUNTING SOLUTIONS,Individual/Sole Trader,Mernda,Nillumbik,Mornington Peninsula,VIC,3754,6923,Accounting Services,accounting,NON,0,30,90,85,20,75,15,60,70
