abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
96278479368,,The Trustee for AKGOZ AND TALIC UNIT TRUST,GLENROY PHYSIOTHERAPY CENTRE,Fixed Unit Trust,Glenroy,Moreland,Melbourne - North West,VIC,3046,8539,Other Allied Health Services,allied_health,ACT,2,40,85,80,50,95,65,80,80
53168271850,168271850,CORE PERFORMANCE PHYSIOTHERAPY PTY LTD,,Australian Private Company,Armadale,Stonnington,Melbourne - Inner,VIC,3143,8539,Other Allied Health Services,allied_health,ACT,12,40,85,80,50,95,65,80,80
51612663313,612663313,HEALEY & CIDONI PSYCHOLOGISTS PTY LTD,,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,8539,Other Allied Health Services,allied_health,NON,8,35,80,75,45,90,60,75,75
88007058031,007058031,OSTEO HEALTH GROUP PTY LTD,OSTEOPATHIC HEALTH GROUP PTY LTD,Australian Private Company,Beaumaris,Bayside (Vic.),Melbourne - Inner South,VIC,3193,8539,Other Allied Health Services,allied_health,CAN,26,35,80,75,45,90,60,75,75
53567824929,,JAMES JIE-MING XU,Accomplish Physiotherapy,Individual/Sole Trader,Wheelers Hill,Monash,Mornington Peninsula,VIC,3150,8539,Other Allied Health Services,allied_health,ACT,1,40,85,80,45,90,65,75,80
25324362795,,AILEEN SIM,Propel Physiotherapy,Individual/Sole Trader,Essendon West,Moonee Valley,Mornington Peninsula,VIC,3040,8539,Other Allied Health Services,allied_health,ACT,11,40,85,80,45,90,65,75,80
72875481861,,THE TRUSTEE FOR THE RESSPC UNIT TRUST,RINGWOOD EAST SPINAL & SPORTS PHYSIOTHERAPY,Fixed Unit Trust,Bedford Road,Maroondah,Melbourne - Outer East,VIC,3135,8539,Other Allied Health Services,allied_health,ACT,26,40,85,80,50,95,65,80,80
57015789600,,SARAH LOUISE MAHON,Sarah Mahon Physiotherapy,Individual/Sole Trader,Narre Warren South,Casey,Mornington Peninsula,VIC,3805,8539,Other Allied Health Services,allied_health,ACT,4,40,85,80,45,90,65,75,80
78289986056,,The trustee for the Sacho Famliy Trust,eye design optometrists,Discretionary Trading Trust,Prahran,Port Phillip,Melbourne - Inner,VIC,3181,8539,Other Allied Health Services,allied_health,ACT,20,40,85,80,50,95,65,80,80
27701812502,,GENG HAO ZHENG,MELBOURNE PHYSIOTHERAPY & CHINESE MEDICINE,Individual/Sole Trader,Surrey Hills North,Boroondara,Mornington Peninsula,VIC,3127,8539,Other Allied Health Services,allied_health,ACT,10,40,85,80,45,90,65,75,80
