abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
81623981653,623981653,TNC TRADING PTY LTD,LUXE NAILZ 88 BAR,Australian Private Company,Noble Park,Greater Dandenong,Melbourne - South East,VIC,3174,4512,Takeaway Food Services,bar_pub,ACT,8,50,75,85,60,95,65,85,60
20668385180,668385180,WHETSTONE HOLDINGS PTY LTD,Little House Wine Bar,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,4512,Takeaway Food Services,bar_pub,ACT,2,50,75,85,60,95,65,85,60
48670053862,670053862,MINGALARBAR GROUP PTY LTD,MINGALAR BAR,Australian Private Company,Chartwell,Wyndham,Melbourne - West,VIC,3030,4512,Takeaway Food Services,bar_pub,NON,2,45,70,80,55,90,60,80,55
99660142288,,Swinburne Staff Club Incorporated,Swinburne Space Bar,Other Incorporated Entity,Auburn South,Boroondara,Melbourne - Inner South,VIC,3122,4512,Takeaway Food Services,bar_pub,NON,17,45,70,80,50,85,60,75,55
14661950054,661950054,21 FLAGS HOTEL GROUP PTY LTD,GOLDEN SQUARE HOTEL BAR,Australian Private Company,Big Hill,Greater Bendigo,Bendigo,VIC,3555,4512,Takeaway Food Services,bar_pub,ACT,3,50,75,85,60,95,65,85,60
97679795245,679795245,BAR TOBALA PTY LTD,,Australian Private Company,Pascoe Vale,Moreland,Melbourne - North West,VIC,3044,4512,Takeaway Food Services,bar_pub,ACT,1,50,75,85,60,95,65,85,60
57446376215,,JONATHAN MARK HOYLE,WONDER BAR,Individual/Sole Trader,Seaford,Frankston,Mornington Peninsula,VIC,3198,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
33621811372,621811372,PRIDE OF OUR FOOTSCRAY COMMUNITY BAR PTY LTD,,Australian Private Company,Footscray,Maribyrnong,Melbourne - West,VIC,3011,4512,Takeaway Food Services,bar_pub,ACT,8,50,75,85,60,95,65,85,60
30676485662,676485662,AVCOM BAR PTY LTD,Mr Paul's Beer and Wine,Australian Private Company,Mornington,Mornington Peninsula,Mornington Peninsula,VIC,3931,4512,Takeaway Food Services,bar_pub,ACT,2,50,75,85,60,95,65,85,60
93665951495,665951495,NTC LEGEND PTY LTD,NTC Space,Australian Private Company,Chartwell,Wyndham,Melbourne - West,VIC,3030,4512,Takeaway Food Services,bar_pub,ACT,3,50,75,85,60,95,65,85,60
56656390840,656390840,DS VENUES PTY LTD,DS VENUES,Australian Private Company,Lalor,Whittlesea,Melbourne - North East,VIC,3075,4512,Takeaway Food Services,bar_pub,CAN,4,45,70,80,55,90,60,80,55
45689752789,689752789,DOWN UNDER BAR CRAWL PTY LTD,DOWN UNDER BAR CRAWL,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,4512,Takeaway Food Services,bar_pub,ACT,0,50,75,85,60,95,65,85,60
41167684120,167684120,NEW QUAY WATERFRONT BUFFET PTY LTD,NEW QUAY INTERNATIONAL BUFFET & BAR,Australian Private Company,Docklands,Melbourne,Melbourne - Inner,VIC,3008,4512,Takeaway Food Services,bar_pub,CAN,12,45,70,80,55,90,60,80,55
93839093710,,The Trustee for Metung Pub Property Trust,,Fixed Unit Trust,Pakenham,Cardinia,Melbourne - South East,VIC,3810,4512,Takeaway Food Services,bar_pub,ACT,1,50,75,85,60,95,65,85,60
91682520387,682520387,FOOD VENTURES PTY LTD,Impasto Italian Kitchen and Bar,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,4512,Takeaway Food Services,bar_pub,ACT,1,50,75,85,60,95,65,85,60
99416146474,,NATASHA PAVIC,THE BAR FIZZ,Individual/Sole Trader,Highett,Kingston (Vic.),Mornington Peninsula,VIC,3190,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
33693903089,693903089,THE PARLOR KITCHEN & BAR PTY LTD,THE PARLOR KITCHEN & BAR,Australian Private Company,Cheltenham,Bayside (Vic.),Melbourne - Inner South,VIC,3192,4512,Takeaway Food Services,bar_pub,ACT,0,50,75,85,60,95,65,85,60
33626619181,626619181,HAIR FUSION PALOUR PTY LTD,HEADING OUT HAIR EXTENSION BAR,Australian Private Company,Fitzroy,Yarra,Melbourne - Inner,VIC,3065,4512,Takeaway Food Services,bar_pub,ACT,7,50,75,85,60,95,65,85,60
