abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
77644824555,644824555,KTG CONSTRUCTION GROUP PTY LTD,,Australian Private Company,Barwon Heads,Surf Coast,Geelong,VIC,3227,3010,House Construction,building_construction,ACT,5,80,60,75,90,95,90,90,75
61087337933,087337933,AUSTRALIAN WORKPLACE MEDIATIONS PTY LTD,AUSTRALIAN WORKPLACE MEDIATIONS,Australian Private Company,Anglesea,Surf Coast,Geelong,VIC,3230,3010,House Construction,building_construction,ACT,26,80,60,75,90,95,90,90,75
72648832802,648832802,MAIN 10 BUILDING MAINTENANCE PTY LTD,,Australian Private Company,Moorabbin,Kingston (Vic.),Melbourne - Inner South,VIC,3189,3010,House Construction,building_construction,ACT,5,80,60,75,90,95,90,90,75
46109896808,109896808,Craig Martin Building & Carpentry Pty Ltd,CRAIG MARTIN BUILDING & CARPENTRY,Australian Private Company,Eurobin,Alpine,Hume,VIC,3739,3010,House Construction,building_construction,ACT,21,80,60,75,90,95,90,90,75
95678463137,678463137,TOP 1 CONSTRUCTION PTY LTD,,Australian Private Company,Chintin,Macedon Ranges,Melbourne - North West,VIC,3756,3010,House Construction,building_construction,ACT,1,80,60,75,90,95,90,90,75
17752676018,,The Trustee for MOCON CONSTRUCTION GROUP FAMILY TRUST,,Discretionary Trading Trust,Endeavour Hills,Casey,Melbourne - South East,VIC,3802,3010,House Construction,building_construction,ACT,3,80,60,75,90,95,90,90,75
12175291423,,The Trustee for Building Rupanyup Unit Trust,,Fixed Unit Trust,Banyena,Northern Grampians,North West,VIC,3388,3010,House Construction,building_construction,NON,7,80,60,75,90,95,90,90,75
87165527328,165527328,TECHNIK CONSTRUCTION PTY LTD,,Australian Private Company,Ascot Vale,Maribyrnong,Melbourne - West,VIC,3032,3010,House Construction,building_construction,ACT,12,80,60,75,90,95,90,90,75
17650295846,650295846,PALLADIUM BUILDING MANAGEMENT PTY LTD,,Australian Private Company,South Wharf,Port Phillip,Melbourne - Inner,VIC,3006,3010,House Construction,building_construction,ACT,5,80,60,75,90,95,90,90,75
60463559331,,NICHOLAS HEATHCOTE,N J HEATHCOTE CONSTRUCTION,Individual/Sole Trader,St Kilda Road Melbourne,Melbourne,Mornington Peninsula,VIC,3004,3010,House Construction,building_construction,CAN,15,80,60,75,85,90,90,85,75
