abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
73902770128,,THE TRUSTEE FOR THE COACHING INSTITUTE FOUNDATION,,Discretionary Investment Trust,Albert Park,Port Phillip,Melbourne - Inner,VIC,3206,4610,Road Passenger Transport,bus_coach,NON,17,95,60,55,75,90,75,85,70
44991541581,,DANNIELLE HARVEY,Mosaic Coaching,Individual/Sole Trader,Tunstall Square Po,Manningham,Mornington Peninsula,VIC,3109,4610,Road Passenger Transport,bus_coach,NON,19,95,60,55,70,85,75,80,70
84235182741,,ANN-MARIE WILLGOOSE,HILLTOPVIEW HEALTH COACHING,Individual/Sole Trader,Boronia,Knox,Mornington Peninsula,VIC,3155,4610,Road Passenger Transport,bus_coach,NON,7,95,60,55,70,85,75,80,70
60673467715,673467715,NEXT GENERATION TOURS PTY LTD,SX COACHES,Australian Private Company,Bendigo,Greater Bendigo,Bendigo,VIC,3550,4610,Road Passenger Transport,bus_coach,ACT,2,100,65,60,80,95,80,90,75
37879561398,,A.F.L. COACHES ASSOCIATION,,Other Incorporated Entity,Albert Park,Port Phillip,Melbourne - Inner,VIC,3206,4610,Road Passenger Transport,bus_coach,ACT,23,100,65,60,75,90,80,85,75
75624650530,,CLAIRE O'RIORDAN,SOUTHERN LIFE COACHING,Individual/Sole Trader,Cromer,Bayside (Vic.),Mornington Peninsula,VIC,3193,4610,Road Passenger Transport,bus_coach,NON,6,95,60,55,70,85,75,80,70
74869379292,,DANIEL SCOTT BADDILEY,Daniel Baddiley Osteopathy,Individual/Sole Trader,Port Melbourne,Melbourne,Mornington Peninsula,VIC,3207,4610,Road Passenger Transport,bus_coach,ACT,15,100,65,60,75,90,80,85,75
16698088440,,PAMELA ANNE TORNEY,Pamela Torney,Individual/Sole Trader,Noble Park North,Greater Dandenong,Mornington Peninsula,VIC,3174,4610,Road Passenger Transport,bus_coach,NON,10,95,60,55,70,85,75,80,70
13218416103,,CELESTE CONSTANCE CORDNER-LOFF,CELESTE CORDNER COACHING,Individual/Sole Trader,Patterson Lakes,Kingston (Vic.),Mornington Peninsula,VIC,3197,4610,Road Passenger Transport,bus_coach,NON,0,95,60,55,70,85,75,80,70
21715521250,,LYNNE FRANCES POWER,Toolkit Coaching,Individual/Sole Trader,Donvale,Manningham,Mornington Peninsula,VIC,3111,4610,Road Passenger Transport,bus_coach,NON,10,95,60,55,70,85,75,80,70
