abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
44708047088,,The Trustee for the Halvagis Giannikos Group Unit Trust,bean in the woods cafe,Fixed Unit Trust,Bedford Road,Maroondah,Melbourne - Outer East,VIC,3135,4511,Cafes and Restaurants,cafe_restaurant,ACT,10,45,75,90,55,90,60,80,60
14845329949,,ROSA MARTELLI,LA LUCCIOLA,Individual/Sole Trader,South Yarra,Melbourne,Mornington Peninsula,VIC,3141,4511,Cafes and Restaurants,cafe_restaurant,ACT,17,45,75,90,50,85,60,75,60
92034987739,,MICHAEL YELANDJIAN,M.Y.P.T,Individual/Sole Trader,Smoko,Unincorporated Vic,Warrnambool and South West,VIC,3741,4511,Cafes and Restaurants,cafe_restaurant,ACT,3,45,75,90,50,85,60,75,60
54645202268,645202268,WILLIAM GRANT PTY LTD,SEASIDE PROPERTY SERVICES,Australian Private Company,Cheltenham,Bayside (Vic.),Melbourne - Inner South,VIC,3192,4511,Cafes and Restaurants,cafe_restaurant,ACT,5,45,75,90,55,90,60,80,60
79682443394,682443394,UYGHUR WOLF PTY LTD,URUMQI UYGHUR EATERY,Australian Private Company,Hallam,Casey,Melbourne - South East,VIC,3803,4511,Cafes and Restaurants,cafe_restaurant,ACT,1,45,75,90,55,90,60,80,60
87355204369,,The Trustee for O'CONNOR FAMILY TRUST,THE FIRST POINT CAFE,Discretionary Trading Trust,Doreen,Nillumbik,Melbourne - North East,VIC,3754,4511,Cafes and Restaurants,cafe_restaurant,CAN,16,40,70,85,50,85,55,75,55
85671343543,671343543,K&A COOPERATE PTY LTD,SWITCH & SIP CAFE,Australian Private Company,Templestowe,Manningham,Melbourne - Inner East,VIC,3106,4511,Cafes and Restaurants,cafe_restaurant,ACT,2,45,75,90,55,90,60,80,60
95451968965,,ABERA AYALEW,Markato African Cafe,Individual/Sole Trader,Seddon West,Maribyrnong,Mornington Peninsula,VIC,3011,4511,Cafes and Restaurants,cafe_restaurant,CAN,22,40,70,85,45,80,55,70,55
40644692311,644692311,HILDA MARGUERITA EATERY PTY LTD,pink.lemon co,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,4511,Cafes and Restaurants,cafe_restaurant,CAN,5,40,70,85,50,85,55,75,55
59959754494,,EMMA LOUISE ANDREWS,GARDINER AND PARTNERS,Individual/Sole Trader,Reservoir South,Darebin,Mornington Peninsula,VIC,3073,4511,Cafes and Restaurants,cafe_restaurant,CAN,10,40,70,85,45,80,55,70,55
