abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
52613309837,,MICHAEL R GAUDION,Mick Gaudion,Individual/Sole Trader,Winton North,Mansfield,Warrnambool and South West,VIC,3673,3109,Heavy & Civil Engineering,civil_contractors,ACT,19,95,60,65,100,95,100,90,85
19290164018,,SASHA JANKOVIC,SJ Contracting Services,Individual/Sole Trader,Endeavour Hills,Casey,Mornington Peninsula,VIC,3802,3109,Heavy & Civil Engineering,civil_contractors,CAN,0,95,60,65,100,95,100,90,85
45608962077,,PETER ANDREW CAMPBELL,PAC CONTRACTING,Individual/Sole Trader,Laburnum,Whitehorse,Mornington Peninsula,VIC,3130,3109,Heavy & Civil Engineering,civil_contractors,NON,25,95,60,65,100,95,100,90,85
68164512243,164512243,HARTE CIVIL PTY LTD,,Australian Private Company,Campbellfield,Hume,Melbourne - North West,VIC,3061,3109,Heavy & Civil Engineering,civil_contractors,ACT,11,95,60,65,100,100,100,95,85
58159417320,159417320,CIVIL CONSTRUCTION MELBOURNE PTY. LTD.,,Australian Private Company,Epping,Whittlesea,Melbourne - North East,VIC,3076,3109,Heavy & Civil Engineering,civil_contractors,NON,9,95,60,65,100,100,100,95,85
24375718325,,B.W MORRISH & M.J MORRISH,KARINGAL CONTRACTING,Other Partnership,Big Desert,Hindmarsh,South Australia - South East,VIC,3490,3109,Heavy & Civil Engineering,civil_contractors,ACT,22,95,60,65,100,100,100,95,85
41672549905,672549905,INFORM CIVIL PTY LTD,,Australian Private Company,Cardinia,Cardinia,Melbourne - South East,VIC,3978,3109,Heavy & Civil Engineering,civil_contractors,ACT,2,95,60,65,100,100,100,95,85
14588638914,,JAYMES MICHAEL GORMAN,J.G Civil,Individual/Sole Trader,Gordon,Moorabool,Warrnambool and South West,VIC,3345,3109,Heavy & Civil Engineering,civil_contractors,CAN,4,95,60,65,100,95,100,90,85
32966566900,,D.B HAWTHORNE & R HAWTHORNE,D & R H Contracting,Family Partnership,Appin Park,Wangaratta,Hume,VIC,3677,3109,Heavy & Civil Engineering,civil_contractors,NON,2,95,60,65,100,100,100,95,85
99634951116,634951116,BMR CIVIL PTY LTD,,Australian Private Company,Altona East,Hobsons Bay,Melbourne - West,VIC,3025,3109,Heavy & Civil Engineering,civil_contractors,ACT,6,95,60,65,100,100,100,95,85
