abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
68289577884,,The Trustee for Patterson Carroll Investment Trust No.2,AEGIS FINANCIAL ADVISORY,Discretionary Trading Trust,Somers,Mornington Peninsula,Mornington Peninsula,VIC,3927,6960,Management and Related Consulting Services,consulting,ACT,11,45,90,95,40,80,25,85,85
78298232358,,The Trustee for FoFA Consulting Trust,,Discretionary Trading Trust,Bentleigh East,Glen Eira,Melbourne - Inner South,VIC,3165,6960,Management and Related Consulting Services,consulting,ACT,10,45,90,95,40,80,25,85,85
77966526283,,MARIE STOURNARAS,MTGN CONSULTING,Individual/Sole Trader,La Trobe University,Darebin,Mornington Peninsula,VIC,3083,6960,Management and Related Consulting Services,consulting,NON,1,40,85,90,30,70,20,75,80
49631575696,631575696,DREE CONSULTING PTY LTD,,Australian Private Company,Doreen,Nillumbik,Melbourne - North East,VIC,3754,6960,Management and Related Consulting Services,consulting,CAN,7,40,85,90,35,75,20,80,80
86343341099,,GAIGE AARON DRACOULIS,MODUS MARKETING CONSULTING,Individual/Sole Trader,St Kilda East,Glen Eira,Mornington Peninsula,VIC,3183,6960,Management and Related Consulting Services,consulting,CAN,2,40,85,90,30,70,20,75,80
64586882259,,JESSICA GOODEAR,BE BRAVE CONSULTING,Individual/Sole Trader,Were Street Po,Bayside (Vic.),Mornington Peninsula,VIC,3186,6960,Management and Related Consulting Services,consulting,NON,2,40,85,90,30,70,20,75,80
29007308509,007308509,SCOTT GROUP CONSULTING PTY LTD,SCOTT GROUP DEVELOPMENTS PTY LTD,Australian Private Company,Camberwell,Boroondara,Melbourne - Inner East,VIC,3124,6960,Management and Related Consulting Services,consulting,ACT,26,45,90,95,40,80,25,85,85
30105191722,105191722,CORDYLINE CONSULTING PTY LTD,,Australian Private Company,Ascot Vale,Maribyrnong,Melbourne - West,VIC,3032,6960,Management and Related Consulting Services,consulting,CAN,22,40,85,90,35,75,20,80,80
57376637477,,WEI WANG,Alliance Education Consultants,Individual/Sole Trader,Truganina,Melton,Mornington Peninsula,VIC,3029,6960,Management and Related Consulting Services,consulting,ACT,18,45,90,95,35,75,25,80,85
88135548110,,The Trustee for CROSSCO UNIT TRUST,CROSSCO UNIT TRUST,Fixed Unit Trust,Bairnsdale,East Gippsland,Latrobe - Gippsland,VIC,3875,6960,Management and Related Consulting Services,consulting,ACT,22,45,90,95,40,80,25,85,85
