abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
61795112866,,EUN JI SHIN,SHIN'S DENTAL SERVICES,Individual/Sole Trader,Rythdale,Cardinia,Warrnambool and South West,VIC,3810,8530,Dental Services,dental,ACT,14,35,90,85,40,85,65,70,80
27650200150,650200150,CHC DENTAL LAB PTY LTD,,Australian Private Company,Berwick,Casey,Melbourne - South East,VIC,3806,8530,Dental Services,dental,ACT,5,35,90,85,45,90,65,75,80
22719593216,,The Trustee for 93 Wells Dental Unit Trust,,Fixed Unit Trust,Camberwell East,Boroondara,Melbourne - Inner East,VIC,3126,8530,Dental Services,dental,ACT,4,35,90,85,45,90,65,75,80
52165973508,165973508,DENTAL INNOVATIONS PRACTICE PLANS PTY LTD,,Australian Private Company,Garden City,Melbourne,Melbourne - West,VIC,3207,8530,Dental Services,dental,NON,12,30,85,80,40,85,60,70,75
12691087926,,THE TRUSTEE FOR THE STONE FAMILY TRUST NO2,Laboratory Orthodontics,Discretionary Trading Trust,Alfredton,Ballarat,Ballarat,VIC,3350,8530,Dental Services,dental,ACT,21,35,90,85,45,90,65,75,80
57841587020,,SHIVAM RISHI,Rishi Dental Services,Individual/Sole Trader,Hawthorn West,Boroondara,Mornington Peninsula,VIC,3122,8530,Dental Services,dental,ACT,0,35,90,85,40,85,65,70,80
14641739808,641739808,CHIC DENTAL PTY LTD,,Australian Private Company,Bundoora,Darebin,Melbourne - North East,VIC,3083,8530,Dental Services,dental,ACT,5,35,90,85,45,90,65,75,80
35450177160,,A.J HAWKINS & A.D MCILWAINE,BENTLEIGH DENTAL ON MCKINNON,Family Partnership,Bentleigh,Glen Eira,Melbourne - Inner South,VIC,3204,8530,Dental Services,dental,ACT,26,35,90,85,45,90,65,75,80
61413580445,,The Trustee for BAO UNIT TRUST,Cobram Family Dental,Fixed Unit Trust,Bathumi,Moira,Shepparton,VIC,3730,8530,Dental Services,dental,ACT,8,35,90,85,45,90,65,75,80
70241856699,,GULNAZ CEMILOGLU,NORTH ROAD DENTAL CLINIC,Individual/Sole Trader,Murrumbeena,Glen Eira,Mornington Peninsula,VIC,3163,8530,Dental Services,dental,ACT,12,35,90,85,40,85,65,70,80
