abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
58602902018,602902018,DOMINO CORP EARTHMOVING PTY LTD,,Australian Private Company,Baxter,Frankston,Mornington Peninsula,VIC,3911,3101,Site Preparation,earthmoving_excavation,ACT,11,100,50,60,100,95,100,85,80
76982502265,,PARMENDRA PRAKASH,PNP Earthmoving Repairs,Individual/Sole Trader,Skye,Frankston,Warrnambool and South West,VIC,3977,3101,Site Preparation,earthmoving_excavation,ACT,4,100,50,60,100,90,100,80,80
13081650259,081650259,WATERS PLANT HIRE PTY LTD,,Australian Private Company,Mildura,Mildura,North West,VIC,3500,3101,Site Preparation,earthmoving_excavation,ACT,25,100,50,60,100,95,100,85,80
98096489986,096489986,GLOVER EARTHMOVING PTY LTD,,Australian Private Company,Blackheath,Northern Grampians,Warrnambool and South West,VIC,3401,3101,Site Preparation,earthmoving_excavation,ACT,25,100,50,60,100,95,100,85,80
32934703460,,ROSS ANDREW HARRIS,JACBAH BOBCAT AND TIPPER HIRE,Individual/Sole Trader,Wallan East,Macedon Ranges,Warrnambool and South West,VIC,3756,3101,Site Preparation,earthmoving_excavation,ACT,25,100,50,60,100,90,100,80,80
82874526856,,JA & JA BELL,JAMIE BELL BOBCAT SERVICE,Family Partnership,Cobram,Berrigan,Shepparton,VIC,3644,3101,Site Preparation,earthmoving_excavation,ACT,26,100,50,60,100,95,100,85,80
98609671454,609671454,LUCSAN PLANT HIRE PTY LTD,,Australian Private Company,Thomastown,Whittlesea,Melbourne - North West,VIC,3074,3101,Site Preparation,earthmoving_excavation,ACT,10,100,50,60,100,95,100,85,80
49613099148,613099148,CRACKIN' EARTHMOVING PTY LTD,,Australian Private Company,Fieldstone,Melton,Melbourne - West,VIC,3024,3101,Site Preparation,earthmoving_excavation,ACT,9,100,50,60,100,95,100,85,80
85885684410,,GLENN COCHRANE,BASS COAST PROJECTS,Individual/Sole Trader,Woolamai,Bass Coast,Warrnambool and South West,VIC,3995,3101,Site Preparation,earthmoving_excavation,CAN,3,100,50,60,100,90,100,80,80
40127355435,127355435,RMR PLANT HIRE PTY LTD,,Australian Private Company,Bayswater,Maroondah,Melbourne - Outer East,VIC,3153,3101,Site Preparation,earthmoving_excavation,ACT,18,100,50,60,100,95,100,85,80
