abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
83635191678,635191678,NEW FUTURE ELECTRICAL SERVICES PTY LTD,,Australian Private Company,Beaumaris,Bayside (Vic.),Melbourne - Inner South,VIC,3193,3421,Electrical Services,electrical,ACT,6,75,90,80,55,90,90,95,100
24491619669,,LUKE BARRY STEINER,PROMECH ELECTRICAL SERVICES,Individual/Sole Trader,Lilydale,Yarra Ranges,Mornington Peninsula,VIC,3140,3421,Electrical Services,electrical,NON,3,75,90,80,50,85,90,90,100
78657034430,657034430,KYCO ELECTRICAL PTY LTD,,Australian Private Company,Alfredton,Ballarat,Ballarat,VIC,3350,3421,Electrical Services,electrical,ACT,4,75,90,80,55,90,90,95,100
67637720373,637720373,JTS ELECTRICAL (AUST) PTY LTD,,Australian Private Company,Brunswick,Moreland,Melbourne - Inner,VIC,3056,3421,Electrical Services,electrical,ACT,6,75,90,80,55,90,90,95,100
99666943399,666943399,FUSION ELECTRICAL CONTRACTING PTY LTD,,Australian Private Company,Lower Plenty,Banyule,Melbourne - North East,VIC,3093,3421,Electrical Services,electrical,ACT,3,75,90,80,55,90,90,95,100
34426455981,,JAMES ANTHONY GASCARD,SPRINGFIELD ELECTRICAL (VIC),Individual/Sole Trader,Harkaway,Casey,Mornington Peninsula,VIC,3806,3421,Electrical Services,electrical,CAN,6,75,90,80,50,85,90,90,100
46128427529,128427529,AMP Up Electrics Pty Ltd,,Australian Private Company,Diamond Creek,Nillumbik,Melbourne - North East,VIC,3089,3421,Electrical Services,electrical,CAN,18,75,90,80,55,90,90,95,100
65751276807,,LEONARD JOHN TANK,LORNE ELECTRICS,Individual/Sole Trader,Lorne,Surf Coast,Warrnambool and South West,VIC,3232,3421,Electrical Services,electrical,ACT,26,75,90,80,50,85,90,90,100
31816715156,,The Trustee for MMAS ELECTRICAL TRUST,,Discretionary Trading Trust,Rowville,Knox,Melbourne - Outer East,VIC,3178,3421,Electrical Services,electrical,CAN,3,75,90,80,55,90,90,95,100
94779637559,,PETER ANTONIADIS,TURN IT ON ELECTRICS,Individual/Sole Trader,Waverley Gardens,Monash,Mornington Peninsula,VIC,3170,3421,Electrical Services,electrical,NON,21,75,90,80,50,85,90,90,100
