abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
80115244089,115244089,HOP ALONG INVESTMENTS PTY LTD,GEELONG ROAD CAR SALES,Australian Private Company,Brooklyn,Brimbank,Melbourne - West,VIC,3012,3523,Landscape Construction,fencing,ACT,20,75,55,75,75,75,90,75,65
11005399280,005399280,DANDENONG GATE CO. PTY. LTD.,,Australian Private Company,Bangholme,Casey,Melbourne - South East,VIC,3175,3523,Landscape Construction,fencing,NON,25,75,55,75,75,75,90,75,65
46940584899,,The Trustee for Manors Gate Group Trust,,Discretionary Investment Trust,Camberwell,Boroondara,Melbourne - Inner East,VIC,3124,3523,Landscape Construction,fencing,ACT,12,75,55,75,75,75,90,75,65
45259707703,,The Middle Gate Superannuation Fund,,ATO Regulated Self-Managed Superannuation Fund,Chirnside Park,Yarra Ranges,Melbourne - Outer East,VIC,3116,3523,Landscape Construction,fencing,NON,23,75,55,75,70,70,90,70,65
35849262038,,SUSAN GATES,SUSAN FENTON,Individual/Sole Trader,St Helena,Nillumbik,Mornington Peninsula,VIC,3088,3523,Landscape Construction,fencing,ACT,17,75,55,75,70,70,90,70,65
62620485154,620485154,H&B FENCING & GATES (AUST) PTY LTD,,Australian Private Company,Bangholme,Casey,Melbourne - South East,VIC,3175,3523,Landscape Construction,fencing,ACT,8,75,55,75,75,75,90,75,65
83807287173,,The Trustee for Matthews Fences & Gates Trust,,Discretionary Trading Trust,Harkness,Macedon Ranges,Melbourne - West,VIC,3337,3523,Landscape Construction,fencing,ACT,4,75,55,75,75,75,90,75,65
86842324174,,The Trustee for SHARAJ FAMILY TRUST,THE GATES PIZZA AND KITCHEN,Discretionary Trading Trust,Doreen,Nillumbik,Melbourne - North East,VIC,3754,3523,Landscape Construction,fencing,ACT,13,75,55,75,75,75,90,75,65
93663320081,663320081,MODERN HOUSE VICTORIA PTY LTD,GULF GATE,Australian Private Company,Hoppers Crossing,Melton,Melbourne - West,VIC,3029,3523,Landscape Construction,fencing,ACT,3,75,55,75,75,75,90,75,65
49659988995,659988995,PARTNERSHIP MANAGER 116 MOUNTAIN GATE PTY LTD,Dr Paws Mountain Gate,Australian Private Company,St Kilda,Port Phillip,Melbourne - Inner,VIC,3182,3523,Landscape Construction,fencing,ACT,3,75,55,75,75,75,90,75,65
68484471768,,The Trustee for BNG Australia Unit Trust,BNG Fabrication & Manufacturing,Fixed Unit Trust,Greenvale,Hume,Melbourne - North West,VIC,3059,3523,Landscape Construction,fencing,ACT,2,75,55,75,75,75,90,75,65
65673316511,,FAISAL AHMED ANSARI,AUTOMATIC GATES REPAIRS,Individual/Sole Trader,Epping Dc,Whittlesea,Mornington Peninsula,VIC,3076,3523,Landscape Construction,fencing,ACT,7,75,55,75,70,70,90,70,65
