abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
53169814975,169814975,ELATLI GLASS PTY LTD,,Australian Private Company,Coolaroo,Hume,Melbourne - North West,VIC,3048,3433,Glazing Services,glaziers,ACT,11,60,60,75,55,80,80,75,65
40704600283,,J.W GANNON & S.L GANNON,RAISON'S GLASS,Family Partnership,Appin Park,Wangaratta,Hume,VIC,3677,3433,Glazing Services,glaziers,ACT,26,60,60,75,55,80,80,75,65
17360203677,,M.J BECKWITH & J.C NELSON,MJ Glass co,Other Partnership,Clifton Springs,Greater Geelong,Geelong,VIC,3222,3433,Glazing Services,glaziers,ACT,3,60,60,75,55,80,80,75,65
69612152262,612152262,RMD GLASS & GLAZING SERVICES PTY LTD,,Australian Private Company,Hallam,Casey,Melbourne - South East,VIC,3803,3433,Glazing Services,glaziers,ACT,10,60,60,75,55,80,80,75,65
13841387330,,MILES ANTHONY JOHNSON,MILES JOHNSON GLASS ART AND DESIGN,Individual/Sole Trader,Elwood,Port Phillip,Mornington Peninsula,VIC,3184,3433,Glazing Services,glaziers,CAN,1,60,60,75,50,75,80,70,65
17694542928,694542928,RADIANCE GLASS PTY LTD,,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,3433,Glazing Services,glaziers,ACT,0,60,60,75,55,80,80,75,65
11136667966,136667966,REDZ GLASS AND MIRROR PTY LTD,,Australian Private Company,Allendale,Central Goldfields,Bendigo,VIC,3364,3433,Glazing Services,glaziers,ACT,9,60,60,75,55,80,80,75,65
25694579425,694579425,AAA GLAZING SERVICES (VIC) PTY LTD,,Australian Private Company,Airport West,Brimbank,Melbourne - North West,VIC,3042,3433,Glazing Services,glaziers,ACT,0,60,60,75,55,80,80,75,65
81141052244,141052244,RUSSELL GLASS & GLAZING PTY. LTD.,,Australian Private Company,Kew East,Boroondara,Melbourne - Inner East,VIC,3102,3433,Glazing Services,glaziers,ACT,16,60,60,75,55,80,80,75,65
21481663179,,The Trustee for THE BASILE GLASS INDUSTRIES TRUST,Clear Vista,Discretionary Trading Trust,Briar Hill,Nillumbik,Melbourne - North East,VIC,3088,3433,Glazing Services,glaziers,ACT,15,60,60,75,55,80,80,75,65
