abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
37371861098,,ASANKA KULATUNGA,Cold Tech Refrigeration,Individual/Sole Trader,Endeavour Hills,Casey,Mornington Peninsula,VIC,3802,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,14,80,90,80,60,85,90,90,100
78788233230,,CAMERON RICHARDS,Envirotemp Heating & Cooling,Individual/Sole Trader,Sylvester,Darebin,Mornington Peninsula,VIC,3072,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,4,80,90,80,60,85,90,90,100
39982339753,,CHRISTOPHER WILLIAM THOMAS,C.T. Heating & Cooling,Individual/Sole Trader,Rosebud Plaza,Mornington Peninsula,Warrnambool and South West,VIC,3939,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,9,80,90,80,60,85,90,90,100
77622461616,622461616,SNUG HYDRONIC HEATING PTY LTD,Euroster,Australian Private Company,Dennington,Moyne,Warrnambool and South West,VIC,3280,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,8,80,90,80,65,90,90,95,100
19618447028,618447028,DIAMOND REFRIGERATION PTY. LTD.,,Australian Private Company,Hampton Park,Casey,Melbourne - South East,VIC,3976,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,9,80,90,80,65,90,90,95,100
66800256237,,BRIAN MATTHEW CLOSE,Brian Close,Individual/Sole Trader,Mirimbah,Unincorporated Vic,Warrnambool and South West,VIC,3722,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,17,80,90,80,60,85,90,90,100
78137996775,,HAIDAR HAMIDI,KEEP COOL REFRIGERATION,Individual/Sole Trader,Epping Dc,Whittlesea,Mornington Peninsula,VIC,3076,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,8,80,90,80,60,85,90,90,100
32428392164,,MOHAMMAD DERBAS,ESKIMO HEATING AND COOLING,Individual/Sole Trader,Meadow Heights,Hume,Mornington Peninsula,VIC,3048,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,3,80,90,80,60,85,90,90,100
22006486344,006486344,RALCRON PTY. LTD.,RALCRON PTY LTD,Australian Private Company,Thomastown,Whittlesea,Melbourne - North West,VIC,3074,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
87387623194,,HILL FAMILY TRUST,SUB-ZERO REFRIGERATION SERVICES PTY LT,Discretionary Trading Trust,Carrum Downs,Frankston,Mornington Peninsula,VIC,3201,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
