abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
37150760366,150760366,IBUILD PARTITIONS AND CEILINGS PTY LTD,,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,3429,Other Building Installation,insulation,ACT,15,65,55,70,55,80,90,75,70
20495813454,,GLEN CONWAY GOFF,COLLINGWOOD CITY INSULATION,Individual/Sole Trader,Raymond Island,Wellington,Warrnambool and South West,VIC,3880,3429,Other Building Installation,insulation,ACT,1,65,55,70,50,75,90,70,70
29650570398,,PENGYU BIAN,PAUL'S CEILING,Individual/Sole Trader,Patterson,Glen Eira,Mornington Peninsula,VIC,3204,3429,Other Building Installation,insulation,ACT,11,65,55,70,50,75,90,70,70
78521428646,,NIKOLAS LEE FRY,Fry Insulation,Individual/Sole Trader,Benalla West,Benalla,Warrnambool and South West,VIC,3672,3429,Other Building Installation,insulation,NON,1,65,55,70,50,75,90,70,70
90889061338,,The trustee for Geoharmony Trust,Monash Insulation,Discretionary Trading Trust,Oakleigh South,Kingston (Vic.),Melbourne - South East,VIC,3167,3429,Other Building Installation,insulation,ACT,16,65,55,70,55,80,90,75,70
90130699393,130699393,Darvell Finance Pty Ltd,Refund Home Loans - Mt Evelyn,Australian Private Company,Lilydale,Yarra Ranges,Melbourne - Outer East,VIC,3140,3429,Other Building Installation,insulation,ACT,17,65,55,70,55,80,90,75,70
77634470250,634470250,CONCEPT CEILINGS HOLDING PTY LTD,,Australian Private Company,Carrum Downs,Frankston,Mornington Peninsula,VIC,3201,3429,Other Building Installation,insulation,NON,6,65,55,70,55,80,90,75,70
33007375395,007375395,INSULATION WHOLESALERS PTY. LTD.,INSULATION WHOLESALERS PTY LTD,Australian Private Company,Sandringham,Bayside (Vic.),Melbourne - Inner South,VIC,3191,3429,Other Building Installation,insulation,ACT,26,65,55,70,55,80,90,75,70
73645127466,645127466,MELBOURNE WIDE INSULATION PTY LTD,,Australian Private Company,Beveridge,Whittlesea,Melbourne - North East,VIC,3753,3429,Other Building Installation,insulation,ACT,5,65,55,70,55,80,90,75,70
94630225526,630225526,PENINSULA CEILINGS PTY LTD,,Australian Private Company,Mornington,Mornington Peninsula,Mornington Peninsula,VIC,3931,3429,Other Building Installation,insulation,ACT,7,65,55,70,55,80,90,75,70
