abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
36667975019,667975019,JENCY PTY LTD,AUSSIZ GARDENING SERVICES,Australian Private Company,Chadstone,Monash,Melbourne - South East,VIC,3148,3523,Landscape Construction,landscaping,ACT,3,80,70,80,95,75,90,80,65
48648909282,648909282,RYAN LANDSCAPING & LAWN MOWING PTY LTD,,Australian Private Company,Aintree,Melton,Mornington Peninsula,VIC,3336,3523,Landscape Construction,landscaping,ACT,5,80,70,80,95,75,90,80,65
34512675060,,DANNY EGBERT STROOP,GREY ARMY LAWN AND GARDEN CARE BASS COAST EAST,Individual/Sole Trader,Woolamai,Bass Coast,Warrnambool and South West,VIC,3995,3523,Landscape Construction,landscaping,CAN,16,80,70,80,90,70,90,75,65
14637874866,,DAVID EDWARD CALWELL,HORIZON LANDSCAPES & GARDENING,Individual/Sole Trader,Wonga Park,Maroondah,Warrnambool and South West,VIC,3115,3523,Landscape Construction,landscaping,CAN,19,80,70,80,90,70,90,75,65
76795169731,,WALTER RIBOLLI,WALLINGTON LAWN MOWING,Individual/Sole Trader,Wallington,Greater Geelong,Warrnambool and South West,VIC,3222,3523,Landscape Construction,landscaping,CAN,3,80,70,80,90,70,90,75,65
72134090351,,NYOMAN SUTAWAN,SUTAWAN GARDENING MAINTENANCE,Individual/Sole Trader,Strathmore Heights,Moonee Valley,Mornington Peninsula,VIC,3041,3523,Landscape Construction,landscaping,NON,5,80,70,80,90,70,90,75,65
37496480349,,DIA YEHIA,D & G FLYSCREEN & SECURITY DOORS,Individual/Sole Trader,Fawkner North,Hume,Mornington Peninsula,VIC,3060,3523,Landscape Construction,landscaping,CAN,26,80,70,80,90,70,90,75,65
70894174049,,LUCY ELLEN-BEL LAWN,,Individual/Sole Trader,Connewarre,Surf Coast,Warrnambool and South West,VIC,3227,3523,Landscape Construction,landscaping,NON,0,80,70,80,90,70,90,75,65
59450558405,,ANDREW POCOCK,GOLDFIELDS LAWN AND PROPERTY CARE,Individual/Sole Trader,Sovereign Hill,Ballarat,Warrnambool and South West,VIC,3350,3523,Landscape Construction,landscaping,NON,0,80,70,80,90,70,90,75,65
21969081652,,THE MCMAHON FAMILY TRUST,LAWN MAINTENANCE & MOWING,Discretionary Trading Trust,Broadford,Murrindindi,Melbourne - North East,VIC,3658,3523,Landscape Construction,landscaping,ACT,26,80,70,80,95,75,90,80,65
