abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
19671058521,671058521,MARGOLIS & MATTHEWS LAWYERS PTY LTD,,Australian Private Company,Kooyong,Stonnington,Melbourne - Inner South,VIC,3144,6910,Legal Services,legal,ACT,2,30,95,85,25,85,20,75,75
20183176873,,ATP NORTH PTY LTD AS TRADING FOR MANUELL PARTNERSHIP TRUST & THE TRUSTEE FOR SYMONS PARTNERSHIP TRUST NO.2,Clarendon Lawyers,Other Partnership,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,6910,Legal Services,legal,ACT,13,30,95,85,25,85,20,75,75
49159619039,159619039,GATEWAY LAWYERS (AUSTRALIA) PTY LTD,GATEWAY LAWYERS,Australian Private Company,Berwick,Casey,Melbourne - South East,VIC,3806,6910,Legal Services,legal,ACT,13,30,95,85,25,85,20,75,75
56646286900,646286900,COHRSSEN PARTNERS LAWYERS PTY LTD,,Australian Private Company,Chapel Street North,Melbourne,Melbourne - Inner,VIC,3141,6910,Legal Services,legal,ACT,5,30,95,85,25,85,20,75,75
27690297379,690297379,ELHAWLI LEGAL PTY LTD,ELHAWLI & CO LAWYERS,Australian Private Company,Hoppers Crossing,Melton,Melbourne - West,VIC,3029,6910,Legal Services,legal,ACT,0,30,95,85,25,85,20,75,75
46251525017,,DARSHAN PRASANTH RAJENDREN,Darshan Lawyers,Individual/Sole Trader,St Kilda Road Melbourne,Melbourne,Mornington Peninsula,VIC,3004,6910,Legal Services,legal,NON,0,25,90,80,15,75,15,65,70
47633428903,633428903,SINGH AUSIN LAWYERS PTY LTD,SINGH AUSIN LAWYERS,Australian Private Company,Mount Waverley,Monash,Melbourne - South East,VIC,3149,6910,Legal Services,legal,ACT,7,30,95,85,25,85,20,75,75
48678117434,678117434,MJJRAV PTY LTD,STILL & CO,Australian Private Company,Forbes,Macedon Ranges,Melbourne - North West,VIC,3764,6910,Legal Services,legal,ACT,1,30,95,85,25,85,20,75,75
78686818664,686818664,OXEN LAWYERS PTY LTD,,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3004,6910,Legal Services,legal,ACT,1,30,95,85,25,85,20,75,75
35443091393,,The Trustee for Perry Weston Unit Trust,Perry Weston Lawyers,Fixed Unit Trust,Blackburn,Whitehorse,Melbourne - Inner East,VIC,3130,6910,Legal Services,legal,NON,12,25,90,80,20,80,15,70,70
