abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
37154430363,,CHRISTOPHER DAVID O'BRIEN,BRIGHT MEDICAL CENTRE,Individual/Sole Trader,Smoko,Unincorporated Vic,Warrnambool and South West,VIC,3741,8511,General Practice Medical Services,medical,ACT,26,35,90,80,40,85,65,70,80
55616017157,616017157,GET WELL SOON ENTERPRISES PTY LTD,ELMWOOD MEDICAL CENTRE,Australian Private Company,West Wodonga,Wodonga,Hume,VIC,3690,8511,General Practice Medical Services,medical,ACT,9,35,90,80,45,90,65,75,80
12689555379,689555379,VALIDA CLINICS PTY LTD,Chronic Doctors,Australian Private Company,Caulfield Junction,Glen Eira,Melbourne - Inner South,VIC,3161,8511,General Practice Medical Services,medical,ACT,0,35,90,80,45,90,65,75,80
20611533088,,PATRICK JOHNSON,DOCTOR-IN-A-BOX,Individual/Sole Trader,Northcote South,Moreland,Mornington Peninsula,VIC,3070,8511,General Practice Medical Services,medical,ACT,25,35,90,80,40,85,65,70,80
46368167058,,The Trustee for Annadale Family Medical Centre Unit Trust,,Fixed Unit Trust,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,8511,General Practice Medical Services,medical,ACT,0,35,90,80,45,90,65,75,80
98428780585,,The trustee for the Yarragon Medical Centre Service Trust,The Yarragon Medical Centre Service Trust,Fixed Unit Trust,Allambee,Baw Baw,Latrobe - Gippsland,VIC,3823,8511,General Practice Medical Services,medical,CAN,18,30,85,75,40,85,60,70,75
52673724886,673724886,RAAMA ARMSTRONG GENERAL PRACTICE PTY LTD,,Australian Private Company,Benwerrin,Colac Otway,Warrnambool and South West,VIC,3235,8511,General Practice Medical Services,medical,CAN,2,30,85,75,40,85,60,70,75
93629257674,629257674,CRAIGIEBURN ONE HEALTH MEDICAL CENTRE PTY LTD,,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,8511,General Practice Medical Services,medical,ACT,4,35,90,80,45,90,65,75,80
79882534659,,The Trustee for FAMILY HEALTH CLINICAL TRUST,WATERGARDEN MEDICAL CENTRE,Discretionary Services Management Trust,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,8511,General Practice Medical Services,medical,ACT,9,35,90,80,45,90,65,75,80
35650305561,650305561,MAD DOCTORS H&Q PTY LTD,,Australian Private Company,Brandon Park,Monash,Melbourne - South East,VIC,3150,8511,General Practice Medical Services,medical,ACT,5,35,90,80,45,90,65,75,80
