abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
51965066401,,KAIDEN NICHOLAS JOHNSTONE,VANGUARD PAINTING AND DECORATING SERVICES,Individual/Sole Trader,Viewbank,Banyule,Mornington Peninsula,VIC,3084,3432,Painting & Decorating,painting,NON,4,55,60,85,45,70,80,70,65
37912462437,,The Trustee for TEGH PAINTING AND DECO,SODHI'S HOMES,Discretionary Trading Trust,Aintree,Melton,Mornington Peninsula,VIC,3336,3432,Painting & Decorating,painting,ACT,5,55,60,85,50,75,80,75,65
49774223901,,The Trustee for STOCKER FAMILY TRUST,STOCKER PAINTING & DECORATING,Discretionary Trading Trust,Lilydale,Yarra Ranges,Melbourne - Outer East,VIC,3140,3432,Painting & Decorating,painting,ACT,20,55,60,85,50,75,80,75,65
44943686359,,The Trustee for Grancic Family Trust,SAMM PAINTING SERVICES & HOME MAINTENANCE,Discretionary Trading Trust,Calder Park,Brimbank,Melbourne - West,VIC,3037,3432,Painting & Decorating,painting,ACT,13,55,60,85,50,75,80,75,65
81341327859,,ALEXANDRA WYN GEAR,Rhythm Arts and Entertainment,Individual/Sole Trader,Epping Dc,Whittlesea,Mornington Peninsula,VIC,3076,3432,Painting & Decorating,painting,CAN,17,55,60,85,45,70,80,70,65
38128374886,,HAMID REZA SHARIFI RAD,PRO RAD PAINTING,Individual/Sole Trader,Endeavour Hills,Casey,Mornington Peninsula,VIC,3802,3432,Painting & Decorating,painting,ACT,3,55,60,85,45,70,80,70,65
15744826169,,YAMIL GONZALO ARAYA,ncd painting,Individual/Sole Trader,Taylors Hill,Brimbank,Mornington Peninsula,VIC,3037,3432,Painting & Decorating,painting,ACT,20,55,60,85,45,70,80,70,65
63625253698,625253698,TOTAL PAINTING GROUP PTY LTD,,Australian Private Company,Carrum,Kingston (Vic.),Mornington Peninsula,VIC,3197,3432,Painting & Decorating,painting,ACT,8,55,60,85,50,75,80,75,65
88006519893,006519893,D. & L. SPRAY PAINTING PTY. LTD.,,Australian Private Company,Doveton,Casey,Melbourne - South East,VIC,3177,3432,Painting & Decorating,painting,ACT,26,55,60,85,50,75,80,75,65
38055826605,,YURY LISINSKY,YURY LISINSKY PAINTING,Individual/Sole Trader,Southland Centre,Bayside (Vic.),Mornington Peninsula,VIC,3192,3432,Painting & Decorating,painting,ACT,26,55,60,85,45,70,80,70,65
