abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
78691274889,691274889,COREVISTA ENTERPRISES PTY LTD,Aussie Furnish,Australian Private Company,Aintree,Melton,Mornington Peninsula,VIC,3336,7320,Pest Control Services,pest_control,ACT,0,60,95,90,45,75,80,80,85
96252851438,,JADE GAVIN COLLARD,COMMAND PEST CONTROL,Individual/Sole Trader,Templestowe Lower,Manningham,Mornington Peninsula,VIC,3107,7320,Pest Control Services,pest_control,ACT,5,60,95,90,40,70,80,75,85
30110110625,,RANA NICHOLAS SMITH,LANDGUARD PEST CONTROL,Individual/Sole Trader,Altona North,Hobsons Bay,Mornington Peninsula,VIC,3025,7320,Pest Control Services,pest_control,NON,0,60,95,90,40,70,80,75,85
35922844981,,LACHLAN SCOTT MCDONALD,Horsham Rabbit and Pest Control,Individual/Sole Trader,Wonwondah South,Horsham,Warrnambool and South West,VIC,3400,7320,Pest Control Services,pest_control,NON,3,60,95,90,40,70,80,75,85
40628897834,628897834,KUNDAN GENERAL SERVICES PTY LTD,Captain Pest Control,Australian Private Company,Cooma,Greater Shepparton,Shepparton,VIC,3616,7320,Pest Control Services,pest_control,ACT,7,60,95,90,45,75,80,80,85
13689188896,689188896,BEETLES PEST CONTROL PTY LTD,,Australian Private Company,Cardinia,Cardinia,Melbourne - South East,VIC,3978,7320,Pest Control Services,pest_control,ACT,0,60,95,90,45,75,80,80,85
24687453845,687453845,INDIGO PEST CONTROL PTY LTD,,Australian Private Company,Baarmutha,Wangaratta,Hume,VIC,3747,7320,Pest Control Services,pest_control,NON,1,60,95,90,45,75,80,80,85
28607086813,607086813,AUSSIE PEST SOLUTIONS PTY LTD,,Australian Private Company,Yarrambat,Nillumbik,Melbourne - North East,VIC,3091,7320,Pest Control Services,pest_control,ACT,10,60,95,90,45,75,80,80,85
36669000382,669000382,CANNON PEST MANAGEMENT PTY LTD,,Australian Private Company,Beenak,Cardinia,Melbourne - South East,VIC,3139,7320,Pest Control Services,pest_control,ACT,2,60,95,90,45,75,80,80,85
42663603816,663603816,GO EPIC PTY LTD,EPIC PEST SOLUTIONS,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,7320,Pest Control Services,pest_control,ACT,3,60,95,90,45,75,80,80,85
