abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
13670322193,670322193,VIC PRO RENDERING PTY LTD,,Australian Private Company,Lynbrook,Greater Dandenong,Melbourne - South East,VIC,3975,3431,Plastering Services,plasterers,ACT,2,50,50,75,45,70,80,70,60
38352866478,,QASIM LOMAN,CRYSTAL RENDERING,Individual/Sole Trader,Dunearn,Casey,Mornington Peninsula,VIC,3175,3431,Plastering Services,plasterers,ACT,20,50,50,75,40,65,80,65,60
12820323685,,BASAM ISHAKY,VIVA RENDERING,Individual/Sole Trader,Fawkner North,Hume,Mornington Peninsula,VIC,3060,3431,Plastering Services,plasterers,ACT,22,50,50,75,40,65,80,65,60
66668238382,668238382,PALLADIUM PLASTER AND PAINTS PTY LTD,,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3004,3431,Plastering Services,plasterers,CAN,3,50,50,75,45,70,80,70,60
97695862330,695862330,MIX PLASTER PTY LTD,,Australian Private Company,Bobinawarrah,Moira,Shepparton,VIC,3678,3431,Plastering Services,plasterers,ACT,0,50,50,75,45,70,80,70,60
93608662102,608662102,RRR RENDERING PTY LTD,,Australian Private Company,Dingley Village,Kingston (Vic.),Melbourne - South East,VIC,3172,3431,Plastering Services,plasterers,ACT,10,50,50,75,45,70,80,70,60
46664344110,664344110,BOBLAR PTY LTD,TJ PLASTER CORNICES,Australian Private Company,Appin Park,Wangaratta,Hume,VIC,3677,3431,Plastering Services,plasterers,ACT,2,50,50,75,45,70,80,70,60
65639649433,639649433,FIRSTCLASS RENDERING PTY LTD,,Australian Private Company,Hoppers Crossing,Melton,Melbourne - West,VIC,3029,3431,Plastering Services,plasterers,ACT,6,50,50,75,45,70,80,70,60
50774028123,,SOHO PARK,Master Soho Taekwondo,Individual/Sole Trader,Keysborough,Greater Dandenong,Mornington Peninsula,VIC,3173,3431,Plastering Services,plasterers,CAN,5,50,50,75,40,65,80,65,60
62168372406,,CRAIG HILTON O'REILY,LANGWARRIN PLASTER LININGS,Individual/Sole Trader,Langwarrin,Frankston,Mornington Peninsula,VIC,3910,3431,Plastering Services,plasterers,ACT,26,50,50,75,40,65,80,65,60
