abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
90958056765,,ADAM RYAN,,Individual/Sole Trader,Hamilton,Southern Grampians,Warrnambool and South West,VIC,3300,3411,Plumbing Services,plumbing,CAN,1,80,95,85,60,90,90,90,100
85690023315,690023315,BRAD HAYES PLUMBING & ROOFING PTY LTD,,Australian Private Company,Inverloch,South Gippsland,Latrobe - Gippsland,VIC,3996,3411,Plumbing Services,plumbing,ACT,0,80,95,85,65,95,90,95,100
28443304160,,DARREN JOHN ZOROTHEOS,Flash Plumbing,Individual/Sole Trader,Moreland,Darebin,Mornington Peninsula,VIC,3058,3411,Plumbing Services,plumbing,CAN,15,80,95,85,60,90,90,90,100
94116460783,116460783,CONTRACT PLUMBING PTY. LTD.,CONTRACT PLUMBING PTY LTD,Australian Private Company,Balmattum,Murrindindi,Hume,VIC,3666,3411,Plumbing Services,plumbing,CAN,20,80,95,85,65,95,90,95,100
86609628033,609628033,ROBUST PLUMBING & DRAINAGE PTY LTD,,Australian Private Company,Banyule,Banyule,Melbourne - North East,VIC,3084,3411,Plumbing Services,plumbing,ACT,10,80,95,85,65,95,90,95,100
73651260338,651260338,DS & DC PLUMBING PTY LTD,,Australian Private Company,Blackwarry,Wellington,Latrobe - Gippsland,VIC,3844,3411,Plumbing Services,plumbing,ACT,4,80,95,85,65,95,90,95,100
47110233648,110233648,AVON PLUMBING PTY LTD,,Australian Private Company,Mentone,Kingston (Vic.),Melbourne - Inner South,VIC,3194,3411,Plumbing Services,plumbing,ACT,21,80,95,85,65,95,90,95,100
61687987882,687987882,LMO PLUMBING PTY LTD,,Australian Private Company,Moorabbin,Kingston (Vic.),Melbourne - Inner South,VIC,3189,3411,Plumbing Services,plumbing,ACT,0,80,95,85,65,95,90,95,100
90569729206,,DARRYL GEOFFREY SEDDON,SUNRAYSIA PLUMBING & DRAINAGE,Individual/Sole Trader,Paringi,Mildura,Warrnambool and South West,VIC,3500,3411,Plumbing Services,plumbing,ACT,2,80,95,85,60,90,90,90,100
43733487256,,The Trustee for THE ROSS FAMILY TRUST,ROSS PLUMBING SERVICES,Discretionary Trading Trust,Beenak,Cardinia,Melbourne - South East,VIC,3139,3411,Plumbing Services,plumbing,ACT,18,80,95,85,65,95,90,95,100
