abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
84052427808,052427808,TEXAS GEM PTY. LTD.,TOP SHOT POOL SALOON,Australian Private Company,Kilsyth,Maroondah,Melbourne - Outer East,VIC,3137,3529,Other Construction,pool_services,ACT,25,70,90,90,55,75,75,75,75
92744551768,,GREGORY PAUL OP DE COUL,POOL NAVIGATORS,Individual/Sole Trader,Tooronga,Stonnington,Mornington Peninsula,VIC,3146,3529,Other Construction,pool_services,NON,9,70,90,90,50,70,75,70,75
34554386550,,The trustee for OnePath Australian Listed Property Index Pool,,Discretionary Investment Trust,Docklands,Melbourne,Melbourne - Inner,VIC,3008,3529,Other Construction,pool_services,ACT,14,70,90,90,55,75,75,75,75
18908659634,,RIVER LU,BIG CONSULTING,Individual/Sole Trader,St Albans,Brimbank,Mornington Peninsula,VIC,3021,3529,Other Construction,pool_services,CAN,23,70,90,90,50,70,75,70,75
75248819466,,PAUL WHEELHOUSE,BENDIGO POOL CARE,Individual/Sole Trader,Woodstock On Loddon,Mount Alexander,Warrnambool and South West,VIC,3551,3529,Other Construction,pool_services,ACT,25,70,90,90,50,70,75,70,75
80377200957,,WESLEY TAYLOR,WES TAYLOR INSTALLATIONS,Individual/Sole Trader,Guys Hill,Casey,Mornington Peninsula,VIC,3807,3529,Other Construction,pool_services,ACT,0,70,90,90,50,70,75,70,75
17074714776,,STEVEN JAMES CAUCHI,All Aspects Pool and Spa Services,Individual/Sole Trader,Seabrook,Wyndham,Mornington Peninsula,VIC,3028,3529,Other Construction,pool_services,CAN,5,70,90,90,50,70,75,70,75
32143619114,,The Trustee for ANZ Private International Fixed Interest Fund,ING FUNDS MANAGEMENT LIMITED AS RE FOR INTERNATIONAL FIXED INTEREST POOL,Unlisted Public Unit Trust,Docklands,Melbourne,Melbourne - Inner,VIC,3008,3529,Other Construction,pool_services,ACT,26,70,90,90,55,75,75,75,75
45018387702,,The Trustee for Allain Pool Family Trust,,Discretionary Investment Trust,Garden City,Melbourne,Melbourne - West,VIC,3207,3529,Other Construction,pool_services,NON,23,70,90,90,55,75,75,75,75
25164827037,,SCOTT JASON MCCLINTOCK,S & J Pool Servicing,Individual/Sole Trader,Clyde North,Cardinia,Mornington Peninsula,VIC,3978,3529,Other Construction,pool_services,NON,1,70,90,90,50,70,75,70,75
