abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
14200664050,,RIZWANULLAH MANSOOR,Casey Roof Services,Individual/Sole Trader,Narre Warren South,Casey,Mornington Peninsula,VIC,3805,3411,Plumbing Services,roofing,NON,0,75,65,80,70,90,95,80,75
33650126542,650126542,PTL ROOFING PTY LTD,,Australian Private Company,Heathwood,Manningham,Melbourne - Outer East,VIC,3134,3411,Plumbing Services,roofing,ACT,5,75,65,80,75,95,95,85,75
13211298119,,The Trustee for MAC Family Trust,Power-Vac Gutter Cleaning Co.,Discretionary Trading Trust,Ocean Grove,Greater Geelong,Geelong,VIC,3226,3411,Plumbing Services,roofing,ACT,3,75,65,80,75,95,95,85,75
68604897627,604897627,TOPLINE ROOFING SOLUTIONS PTY LTD,GEELONG ROOF TILES,Australian Private Company,Anakie,Golden Plains,Warrnambool and South West,VIC,3213,3411,Plumbing Services,roofing,ACT,11,75,65,80,75,95,95,85,75
44721569644,,GEORGE POIMENIDIS,CLIMBING ROOFING,Individual/Sole Trader,Ringwood East,Maroondah,Mornington Peninsula,VIC,3135,3411,Plumbing Services,roofing,ACT,13,75,65,80,70,90,95,80,75
26603456373,603456373,PRIDGE ROOFING PTY LTD,,Australian Private Company,Harkness,Macedon Ranges,Melbourne - West,VIC,3337,3411,Plumbing Services,roofing,ACT,11,75,65,80,75,95,95,85,75
36650845042,650845042,HK ROOFING PTY LTD,,Australian Private Company,Beaumaris,Bayside (Vic.),Melbourne - Inner South,VIC,3193,3411,Plumbing Services,roofing,ACT,4,75,65,80,75,95,95,85,75
94072166338,,BROCK STEPHEN HICKEY,Hickey's Roofing Services,Individual/Sole Trader,St Helena,Nillumbik,Mornington Peninsula,VIC,3088,3411,Plumbing Services,roofing,CAN,0,75,65,80,70,90,95,80,75
63518096671,,NICHOLAS EDWARD BENDER,BACKBEACH ROOFING SERVICES,Individual/Sole Trader,Safety Beach,Mornington Peninsula,Mornington Peninsula,VIC,3936,3411,Plumbing Services,roofing,NON,7,75,65,80,70,90,95,80,75
15078065219,078065219,REGAL ROOFING (VIC) PTY. LTD.,REGAL ROOFING VIC PTY LTD,Australian Private Company,Epping,Whittlesea,Melbourne - North East,VIC,3076,3411,Plumbing Services,roofing,CAN,26,75,65,80,75,95,95,85,75
