abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
49004933242,004933242,NIDAC PTY LTD,NIDAC SECURITY PTY LTD,Australian Private Company,Bennettswood,Monash,Melbourne - South East,VIC,3125,3429,Other Building Installation,security_installers,ACT,26,65,85,80,45,80,75,80,95
18476858467,,The Trustee for THE BARNES SECURITY INVESTMENT TRUST,,Fixed Unit Trust,Auburn,Boroondara,Melbourne - Inner East,VIC,3123,3429,Other Building Installation,security_installers,NON,23,65,85,80,45,80,75,80,95
96089258497,,LIONNEL DAVID LABICHE,Security System Company,Individual/Sole Trader,St Kilda West,Port Phillip,Mornington Peninsula,VIC,3182,3429,Other Building Installation,security_installers,ACT,13,65,85,80,40,75,75,75,95
29414181980,,The trustee for Bond Locksmiths Unit Trust,Bond Locksmiths,Fixed Unit Trust,Blackburn,Whitehorse,Melbourne - Inner East,VIC,3130,3429,Other Building Installation,security_installers,ACT,14,65,85,80,45,80,75,80,95
79647254564,647254564,NANAK SECURITY PTY LTD,Jim's Security (Botanic Ridge),Australian Private Company,Officer,Cardinia,Melbourne - South East,VIC,3809,3429,Other Building Installation,security_installers,ACT,5,65,85,80,45,80,75,80,95
99635532890,,CHRIS KOLOVOS,SAFE SACU SECURITY,Individual/Sole Trader,Brunswick North,Moreland,Mornington Peninsula,VIC,3056,3429,Other Building Installation,security_installers,NON,1,65,85,80,40,75,75,75,95
14140401092,140401092,MJR SECURITY PTY. LTD.,,Australian Private Company,Morang South,Whittlesea,Melbourne - North East,VIC,3752,3429,Other Building Installation,security_installers,NON,16,65,85,80,45,80,75,80,95
88139856456,139856456,GROUP CCTV PTY LTD,SJ ELECTRIC MACKAY PTY LTD,Australian Private Company,Thomastown,Whittlesea,Melbourne - North West,VIC,3074,3429,Other Building Installation,security_installers,ACT,16,65,85,80,45,80,75,80,95
41211559713,,The Trustee for Davon Family Trust,SECURITY FENCING SOLUTIONS,Discretionary Trading Trust,Pyalong,Mitchell,Hume,VIC,3521,3429,Other Building Installation,security_installers,ACT,4,65,85,80,45,80,75,80,95
30627773871,627773871,HASRAT TELECOM PTY LTD,BEST CCTV,Australian Private Company,Burnside,Brimbank,Melbourne - West,VIC,3023,3429,Other Building Installation,security_installers,ACT,7,65,85,80,45,80,75,80,95
