abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
61149300854,149300854,MATANGI ENTERPRISE PTY LTD,STAR ALLIANZ,Australian Private Company,Cheltenham,Bayside (Vic.),Melbourne - Inner South,VIC,3192,3421,Electrical Services,solar,ACT,15,70,80,85,55,85,85,90,100
45103161913,103161913,BUTZIGUS PTY LTD,GREEN BUSINESS AUDIT & TRAINING,Australian Private Company,Sandown Village,Greater Dandenong,Melbourne - South East,VIC,3171,3421,Electrical Services,solar,ACT,23,70,80,85,55,85,85,90,100
32653245928,653245928,BUNGAMA PROJECT (SOLAR) HOLDINGS PTY LTD,,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,3421,Electrical Services,solar,NON,3,70,80,85,55,85,85,90,100
84671698847,671698847,ELECTRON SOLAR PTY LTD,,Australian Private Company,Laverton Raaf,Wyndham,Melbourne - West,VIC,3027,3421,Electrical Services,solar,ACT,2,70,80,85,55,85,85,90,100
43674719094,674719094,SOLAR SOLUTION & SERVICES PTY LTD,,Australian Private Company,Greenvale,Hume,Melbourne - North West,VIC,3059,3421,Electrical Services,solar,ACT,2,70,80,85,55,85,85,90,100
43066283074,066283074,SOLAR TURBINES INTERNATIONAL COMPANY,SOLAR TURBINES AUSTRALIA,Other Incorporated Entity,Rowville,Knox,Melbourne - Outer East,VIC,3178,3421,Electrical Services,solar,ACT,26,70,80,85,50,80,85,85,100
43958124616,,JAMIE FLAVELL,FIRSTPOINT DIGITAL,Individual/Sole Trader,Endeavour Hills,Casey,Mornington Peninsula,VIC,3802,3421,Electrical Services,solar,NON,10,70,80,85,50,80,85,85,100
23397719120,,The Trustee for SACHS FAMILY TRUST,SOLAR AND SECURITY FILMS PTY LTD,Discretionary Trading Trust,Mentone,Kingston (Vic.),Melbourne - Inner South,VIC,3194,3421,Electrical Services,solar,ACT,23,70,80,85,55,85,85,90,100
13697912084,697912084,PROJECT 300 SOLAR BATTERIES & OFF GRID PTY. LTD.,,Australian Private Company,Gilberton,Darebin,Melbourne - North East,VIC,3072,3421,Electrical Services,solar,ACT,0,70,80,85,55,85,85,90,100
95169067755,,BENJAMIN JAMES ROBERTSON,SETTING SUN SOLAR SOLUTIONS,Individual/Sole Trader,Skye,Frankston,Warrnambool and South West,VIC,3977,3421,Electrical Services,solar,NON,18,70,80,85,50,80,85,85,100
