abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
48780427065,,JAMES PARSONSON,JP'S MECHANICAL REPAIRS AND FABRICATION,Individual/Sole Trader,Tallarook,Mitchell,Warrnambool and South West,VIC,3659,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,0,75,50,60,75,80,95,80,75
39535646650,,The Trustee for Bombora Engineering Trust,,Discretionary Trading Trust,Hughesdale,Monash,Melbourne - South East,VIC,3166,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,2,75,50,60,80,85,95,85,75
34004695925,004695925,CARLYLE ENGINEERING PTY. LTD.,CARLYLE ENGINEERING PTY LTD,Australian Private Company,Clayton,Monash,Melbourne - South East,VIC,3168,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,26,75,50,60,80,85,95,85,75
18609618466,609618466,AXIS WELDING & FABRICATION SERVICES PTY LTD,,Australian Private Company,Moorabbin,Kingston (Vic.),Melbourne - Inner South,VIC,3189,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,10,75,50,60,80,85,95,85,75
22095314195,095314195,VIP STEEL PACKAGING PTY LTD,VIP PACKAGING,Australian Private Company,Burnley,Yarra,Melbourne - Inner,VIC,3121,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,25,75,50,60,80,85,95,85,75
77448846281,,S NATARAJAN & M NOORULLAH,MSN Steel Solutions,Other Partnership,Laverton Raaf,Wyndham,Melbourne - West,VIC,3027,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,0,75,50,60,80,85,95,85,75
39105759879,,The Trustee for LODDON RIVER NOMINEES TRUST NO 4,EYLES ENGINEERING PTY LTD,Discretionary Trading Trust,Castle Donnington,Gannawarra,North West,VIC,3585,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,26,75,50,60,80,85,95,85,75
74678555836,678555836,DIRECT STEEL PTY LTD,,Australian Private Company,Bruces Creek,Nillumbik,Melbourne - North East,VIC,3757,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,1,75,50,60,80,85,95,85,75
55661013467,661013467,MISHRA ENGINEERING CORPORATION PROPRIETARY LTD,,Australian Private Company,Aintree,Melton,Mornington Peninsula,VIC,3336,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,1,75,50,60,80,85,95,85,75
77695439484,695439484,SCP ENGINEERING PTY LTD,,Australian Private Company,Athlone,Baw Baw,Latrobe - Gippsland,VIC,3818,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,0,75,50,60,80,85,95,85,75
