abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
19939784553,,ANGELO TORCASIO,SOUTHERN STAR LIMOUSINES,Individual/Sole Trader,Rosebud West,Mornington Peninsula,Mornington Peninsula,VIC,3940,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,19,95,60,60,65,85,70,75,65
91755092898,,RUPINDER SINGH,Rupi,Individual/Sole Trader,Skye,Frankston,Warrnambool and South West,VIC,3977,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,20,95,60,60,65,85,70,75,65
85079005986,079005986,VK TAXI PTY LTD,,Australian Private Company,Caulfield,Glen Eira,Melbourne - Inner South,VIC,3162,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,2,90,55,55,65,85,65,75,60
34632620896,632620896,NGUPTA ENTERPRISES PTY LTD,Wallankilmore Taxi,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,7,95,60,60,70,90,70,80,65
77465742708,,GURPREET SINGH,Taxi Industry,Individual/Sole Trader,Clyde North,Cardinia,Mornington Peninsula,VIC,3978,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,20,95,60,60,65,85,70,75,65
41774830355,,The Trustee for OZ MAXI TAXI TRUST,,Discretionary Trading Trust,Hallam,Casey,Melbourne - South East,VIC,3803,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,70,90,70,80,65
33688188561,688188561,CORELINK AUSTRALIA PTY LTD.,13 MAXIS GEELONG,Australian Private Company,Bell Park,Greater Geelong,Geelong,VIC,3215,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,0,95,60,60,70,90,70,80,65
90674156328,674156328,VALLEY CABS PTY LTD,,Australian Private Company,Blackwarry,Wellington,Latrobe - Gippsland,VIC,3844,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,70,90,70,80,65
30815268821,,DANG HAI NGUYEN,DH INFINITY TRADING,Individual/Sole Trader,Noble Park North,Greater Dandenong,Mornington Peninsula,VIC,3174,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,4,95,60,60,65,85,70,75,65
25491307095,,The Trustee for Visser Dittmar Taxi Trust,,Discretionary Trading Trust,Dennington,Moyne,Warrnambool and South West,VIC,3280,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,12,95,60,60,70,90,70,80,65
13687409078,,THE TRUSTEE FOR THE WRIGHT INVESTMENTS DISCRETIONARY TRUST,The Moreland Broadmeadows Bus Line Discretionary Trust,Discretionary Investment Trust,Cowes,Bass Coast,Latrobe - Gippsland,VIC,3922,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,18,95,60,60,70,90,70,80,65
15475286195,,SUKHJIT SINGH,MORNINGTON PENINSULA CABS SERVICE,Individual/Sole Trader,Skye,Frankston,Warrnambool and South West,VIC,3977,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,8,95,60,60,65,85,70,75,65
35283977132,,ZEESHAN MAHMUD,Zeeshan Cab,Individual/Sole Trader,Noble Park North,Greater Dandenong,Mornington Peninsula,VIC,3174,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,16,95,60,60,65,85,70,75,65
57281315478,,THE TRUSTEE FOR THE MT BEAUTY DISCRETIONARY TRUST,FALLS CREEK COACH SERVICE PTY LTD,Discretionary Trading Trust,Tawonga South,Alpine,Hume,VIC,3698,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,19,95,60,60,70,90,70,80,65
72088328526,,MIRZA BEIG,TAXI DRIVER,Individual/Sole Trader,Moreland,Darebin,Mornington Peninsula,VIC,3058,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,13,95,60,60,65,85,70,75,65
95244255659,,ABDULNASSIR TURKY GELETE,TAXI DRIVER,Individual/Sole Trader,Clyde North,Cardinia,Mornington Peninsula,VIC,3978,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,0,90,55,55,60,80,65,70,60
87168568527,168568527,NEW CITY TAXIS PTY LTD,ValetOne,Australian Private Company,Garden City,Melbourne,Melbourne - West,VIC,3207,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,12,95,60,60,70,90,70,80,65
18095310581,,KOSTAS GROSIOS,TRIPLE 8 LIMOUSINES,Individual/Sole Trader,Oakleigh East,Monash,Mornington Peninsula,VIC,3166,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,24,95,60,60,65,85,70,75,65
55442995697,,The Trustee for C & N DAVIS TRUST,SELECT MOBILE DISCO,Discretionary Trading Trust,Birdwoodton,Mildura,North West,VIC,3505,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,22,95,60,60,70,90,70,80,65
51725441730,,RAVINDER KUMAR,Ravinder,Individual/Sole Trader,South Morang,Whittlesea,Mornington Peninsula,VIC,3752,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,10,95,60,60,65,85,70,75,65
99465094472,,GETENET TADESSE ZERFENAEH,TAXI DRIVING,Individual/Sole Trader,Truganina,Melton,Mornington Peninsula,VIC,3029,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,8,95,60,60,65,85,70,75,65
73576748465,,KULDEEP AUJLA,North East Taxi,Individual/Sole Trader,Mernda,Nillumbik,Mornington Peninsula,VIC,3754,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,11,95,60,60,65,85,70,75,65
68149032365,,PETER BRIAN STANOVSEK,PREMIER GOLD CLASS LIMO'S,Individual/Sole Trader,Were Street Po,Bayside (Vic.),Mornington Peninsula,VIC,3186,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,11,95,60,60,65,85,70,75,65
30571457962,,KAHRAMAN CALHAN,SKYLIMOUSINE & HIRE CAR,Individual/Sole Trader,Tullamarine,Brimbank,Mornington Peninsula,VIC,3043,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
81669921635,669921635,STAR CITY CHAUFFEURS PTY LTD,,Australian Private Company,Fountain Gate,Casey,Melbourne - South East,VIC,3805,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,70,90,70,80,65
