abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
63977276114,,STEVEN BOSEVSKI,BOSS TILING GROUP,Individual/Sole Trader,Mill Park,Whittlesea,Mornington Peninsula,VIC,3082,3439,Tiling & Carpeting,tiling,ACT,13,50,50,75,40,65,75,60,60
40647923028,647923028,G R TILING PTY LTD,,Australian Private Company,Hallam,Casey,Melbourne - South East,VIC,3803,3439,Tiling & Carpeting,tiling,ACT,5,50,50,75,45,70,75,65,60
49889470442,,LEIGH MOODIE,LEIGH MOODIE TILING,Individual/Sole Trader,Rippleside,Greater Geelong,Mornington Peninsula,VIC,3215,3439,Tiling & Carpeting,tiling,NON,10,50,50,75,40,65,75,60,60
71966278650,,The trustee for S & X Hoxha Income Trust,MEDITERRANEAN TILES,Discretionary Trading Trust,Arcadia,Strathbogie,Shepparton,VIC,3631,3439,Tiling & Carpeting,tiling,ACT,14,50,50,75,45,70,75,65,60
17699749899,,SONGHWAN CHOI,MR CHOI TILING,Individual/Sole Trader,Sunshine West,Brimbank,Mornington Peninsula,VIC,3020,3439,Tiling & Carpeting,tiling,ACT,6,50,50,75,40,65,75,60,60
82338071972,,JAWID AKRAMKHIL,1MAN SCRAP METAL & RECYCLING,Individual/Sole Trader,Dunearn,Casey,Mornington Peninsula,VIC,3175,3439,Tiling & Carpeting,tiling,CAN,8,50,50,75,40,65,75,60,60
63793980210,,The trustee for The Stonecraft Trust,Stone_Craft Tiling Pty Ltd,Discretionary Trading Trust,Burnley,Yarra,Melbourne - Inner,VIC,3121,3439,Tiling & Carpeting,tiling,ACT,20,50,50,75,45,70,75,65,60
28416031044,,SONAY TOMA HANA,Crystal Tiling Services,Individual/Sole Trader,Greenvale,Hume,Mornington Peninsula,VIC,3059,3439,Tiling & Carpeting,tiling,ACT,9,50,50,75,40,65,75,60,60
91913456166,,TIMOTHY ANDREW TROLLOPE,Tim Trollope Tiling,Individual/Sole Trader,Mernda,Nillumbik,Mornington Peninsula,VIC,3754,3439,Tiling & Carpeting,tiling,CAN,10,50,50,75,40,65,75,60,60
49445009973,,JOSEPH FARRUGIA,DARCY'S TILING,Individual/Sole Trader,Swan Reach,East Gippsland,Warrnambool and South West,VIC,3903,3439,Tiling & Carpeting,tiling,CAN,18,50,50,75,40,65,75,60,60
