abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
66627580858,627580858,AUSSIE VEHICLE LOGISTICS PTY LTD,,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,4621,Road Freight Transport,transport_logistics,ACT,7,95,60,65,85,90,75,90,80
76670371751,,The Trustee for L & F BOURAS FAMILY TRUST,LB LOGISTICS PTY. LTD.,Discretionary Trading Trust,Cardinia,Cardinia,Melbourne - South East,VIC,3978,4621,Road Freight Transport,transport_logistics,CAN,14,90,55,60,80,85,70,85,75
34760814035,,STEFANO FOTIA,BIG YELLOW TRUCK,Individual/Sole Trader,Ravenhall,Brimbank,Mornington Peninsula,VIC,3023,4621,Road Freight Transport,transport_logistics,CAN,0,90,55,60,75,80,70,80,75
46641297681,641297681,SPECIALISED FORK LOGISTICS PTY LTD,,Australian Private Company,Beenak,Cardinia,Melbourne - South East,VIC,3139,4621,Road Freight Transport,transport_logistics,ACT,6,95,60,65,85,90,75,90,80
12672548533,672548533,PIND MASSANIAN TRANSPORT PTY LTD,,Australian Private Company,Brookfield,Wyndham,Melbourne - West,VIC,3338,4621,Road Freight Transport,transport_logistics,ACT,2,95,60,65,85,90,75,90,80
96112128453,112128453,HIBSON TRANSPORT CONSULTANCY (AUST) PTY LTD,,Australian Private Company,Brandon Park,Monash,Melbourne - South East,VIC,3150,4621,Road Freight Transport,transport_logistics,ACT,21,95,60,65,85,90,75,90,80
83619555449,619555449,BTM HAULAGE PTY LTD,BTM Landscaping & Design,Australian Private Company,Botanic Ridge,Frankston,Mornington Peninsula,VIC,3977,4621,Road Freight Transport,transport_logistics,ACT,8,95,60,65,85,90,75,90,80
17122891427,122891427,EAL TRANSPORT (QLD) PTY LTD,,Australian Private Company,Bayswater,Maroondah,Melbourne - Outer East,VIC,3153,4621,Road Freight Transport,transport_logistics,ACT,19,95,60,65,85,90,75,90,80
21694431091,694431091,HEART TRANSPORT PTY LTD,,Australian Private Company,Harkness,Macedon Ranges,Melbourne - West,VIC,3337,4621,Road Freight Transport,transport_logistics,ACT,0,95,60,65,85,90,75,90,80
73620157137,620157137,HERITAGE TRANSPORT AND CRANE TRUCK SERVICES PTY LTD,,Australian Private Company,Chintin,Macedon Ranges,Melbourne - North West,VIC,3756,4621,Road Freight Transport,transport_logistics,ACT,8,95,60,65,85,90,75,90,80
