abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
12326806815,,HOME IMPRESSIONS TRUST,JUST RUBBISH,Discretionary Trading Trust,Carlton North,Moreland,Melbourne - Inner,VIC,3054,7290,Other Administrative Services,waste_skip,CAN,26,100,65,65,95,90,100,80,70
47472558702,,The Trustee for Four Seasons Waste Properties Unit Trust,,Fixed Unit Trust,Altona East,Hobsons Bay,Melbourne - West,VIC,3025,7290,Other Administrative Services,waste_skip,ACT,4,100,65,65,95,90,100,80,70
94983872547,,STEVEN TIMMIS,STEVEN JOHN TIMMIS,Individual/Sole Trader,Paringi,Mildura,Warrnambool and South West,VIC,3500,7290,Other Administrative Services,waste_skip,CAN,7,100,65,65,90,85,100,75,70
97159643544,159643544,KUMITE SUSTAINABILITY AND WASTE MANAGEMENT PTY LTD,,Australian Private Company,South Melbourne,Port Phillip,Melbourne - Inner,VIC,3205,7290,Other Administrative Services,waste_skip,CAN,13,100,65,65,95,90,100,80,70
58684566710,684566710,NO WASTE NEW ZEALAND PTY LTD,,Australian Private Company,Vermont,Maroondah,Melbourne - Outer East,VIC,3133,7290,Other Administrative Services,waste_skip,ACT,1,100,65,65,95,90,100,80,70
24052340491,,JUSTIN MICHAEL MCSWEENEY,JUST IN TIME RUBBISH REMOVAL,Individual/Sole Trader,Hallam,Casey,Mornington Peninsula,VIC,3803,7290,Other Administrative Services,waste_skip,ACT,11,100,65,65,90,85,100,75,70
60163911392,,SIBEL BUHAGIAR,TRIMLINE Tree & Rubbish Removal,Individual/Sole Trader,Werribee South,Wyndham,Warrnambool and South West,VIC,3030,7290,Other Administrative Services,waste_skip,CAN,6,100,65,65,90,85,100,75,70
66880881974,,The Trustee for Emmins Family Trust,ENVIRO WASTE REDUCTION GROUP,Discretionary Trading Trust,Fieldstone,Melton,Melbourne - West,VIC,3024,7290,Other Administrative Services,waste_skip,ACT,8,100,65,65,95,90,100,80,70
27669568303,,The Trustee for Stubbles Family Trust,Magiclands Rubbish Removal & Maintenance,Discretionary Trading Trust,Cape Woolamai,Bass Coast,Latrobe - Gippsland,VIC,3925,7290,Other Administrative Services,waste_skip,ACT,15,100,65,65,95,90,100,80,70
71108105622,,G.M YOUNG & N.M YOUNG,PAYLESS SKIPS,Family Partnership,Birdwoodton,Mildura,North West,VIC,3505,7290,Other Administrative Services,waste_skip,ACT,22,100,65,65,95,90,100,80,70
