abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
58573373614,,Owners of Mariner Resort Strata Plan 50998,MARINER RESORT GERALDTON,Strata-title,Woorree,Chapman Valley,Western Australia - Outback (South),WA,6530,4400,Accommodation,accommodation,ACT,16,55,75,90,45,85,55,75,65
74642133257,642133257,TOM QU PTY LTD,HEYYOU PET RESORT,Australian Private Company,Willetton,Melville,Perth - South West,WA,6155,4400,Accommodation,accommodation,ACT,5,55,75,90,50,90,55,80,65
48625036044,625036044,ANDELEAH PTY. LTD.,Bischoff Hotel,Australian Private Company,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,4400,Accommodation,accommodation,ACT,8,55,75,90,50,90,55,80,65
25267524810,,The Trustee for BOND FAMILY TRUST,Dampier Mermaid Hotel & Motel,Discretionary Trading Trust,Dampier Archipelago,,Western Australia - Outback (South),WA,6713,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
75087870102,087870102,NIGHTLIFE NOMINEES PTY LTD,ROCKINGHAM HOTELLIQUID NIGHT CLUB,Australian Private Company,Wattleup,Cockburn,Perth - South West,WA,6166,4400,Accommodation,accommodation,CAN,26,50,70,85,45,85,50,75,60
51199708594,,The Trustee for the Providence Lifestyle (Mandurah) Trust,PROVIDENCE LIFESTYLE MANDURAH RESORT,Fixed Unit Trust,West Leederville,Vincent,Perth - South West,WA,6007,4400,Accommodation,accommodation,ACT,5,55,75,90,50,90,55,80,65
90665036862,,JANE MARION MCPHERSON,FAMILY SEAFOOD & GRILL,Individual/Sole Trader,Port Kennedy,Rockingham,Perth - South West,WA,6172,4400,Accommodation,accommodation,CAN,1,50,70,85,40,80,50,70,60
85626011498,626011498,LIGHTHOUSE RESORTS PTY LTD,Hendies Kitchen,Australian Private Company,Wattleup,Cockburn,Perth - South West,WA,6166,4400,Accommodation,accommodation,ACT,8,55,75,90,50,90,55,80,65
81256499459,,The Trustee for The Roman Mensa Unit Trust,BLINK COFFEE,Fixed Unit Trust,West Perth,Vincent,Perth - South West,WA,6005,4400,Accommodation,accommodation,ACT,4,55,75,90,50,90,55,80,65
76048731926,,INGLEWOOD HOTEL INVESTMENTS,INGLEWOOD INVESTMENTS,Other Partnership,Nedlands Dc,Perth,Perth - South West,WA,6009,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
