abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
17752456751,,AARON COLLEY,Dolphin Tax & Accounting,Individual/Sole Trader,Wannanup,Mandurah,Perth - South West,WA,6210,6923,Accounting Services,accounting,CAN,15,30,90,85,20,75,15,60,70
46942068226,,The Trustee for The PAS Trust,PRIORITY ACCOUNTING SERVICES,Discretionary Trading Trust,Shelley,Canning,Perth - South West,WA,6148,6923,Accounting Services,accounting,CAN,21,30,90,85,25,80,15,65,70
28199443033,,MONICA PATRICIA CARMODY,COUNTRY ACCOUNTING SERVICES,Individual/Sole Trader,Youngs Siding,Albany,Western Australia - Outback (South),WA,6330,6923,Accounting Services,accounting,ACT,26,35,95,90,25,80,20,65,75
32218518868,,ROHINI PANJACHARAM,NUMBERS ACCOUNTING SERVICES,Individual/Sole Trader,Southern River,Gosnells,Perth - South West,WA,6110,6923,Accounting Services,accounting,NON,20,30,90,85,20,75,15,60,70
95987524156,,MELANIE KATE MARAI,MKM TAX & ACCOUNTING SERVICES,Individual/Sole Trader,Yangebup,Cockburn,Perth - South West,WA,6164,6923,Accounting Services,accounting,NON,9,30,90,85,20,75,15,60,70
46685708383,685708383,THE MOBILE BOOKKEEPER WA PTY LTD,THE MOBILE BOOKKEEPER WA,Australian Private Company,West Pinjarra,Murray,Western Australia - Wheat Belt,WA,6208,6923,Accounting Services,accounting,ACT,1,35,95,90,30,85,20,70,75
87457409138,,The Trustee for DG Tropiano Trust,DGT ACCOUNTING,Discretionary Trading Trust,Tamala Park,Wanneroo,Perth - South West,WA,6030,6923,Accounting Services,accounting,ACT,3,35,95,90,30,85,20,70,75
91413707609,,BENJAMIN GEORGE CHAPMAN,WA CPAP,Individual/Sole Trader,White Gum Valley,Fremantle,Perth - South West,WA,6162,6923,Accounting Services,accounting,NON,2,30,90,85,20,75,15,60,70
88661854039,661854039,JSAS MANAGEMENT SERVICES PTY LTD,AR ACCOUNTING SERVICES,Australian Private Company,Thornlie,Gosnells,Perth - South West,WA,6108,6923,Accounting Services,accounting,ACT,3,35,95,90,30,85,20,70,75
47642075318,,ALISON DAWN WEIDMAN,HONEYWOOD ACCOUNTING SERVICES,Individual/Sole Trader,Wandi,Serpentine-Jarrahdale,Perth - South West,WA,6167,6923,Accounting Services,accounting,ACT,8,35,95,90,25,80,20,65,75
