abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
82101306790,101306790,Hand Rehab pty ltd,Hand Works Occupational Therapy,Australian Private Company,Winthrop,Melville,Perth - South West,WA,6150,8539,Other Allied Health Services,allied_health,ACT,23,40,85,80,50,95,65,80,80
30509103110,,ANGELA MARY KAY WILLIAMS,STEP UP PHYSIOTHERAPY AND ORTHOTIC SERVICES,Individual/Sole Trader,Nowergup,Wanneroo,Perth - South West,WA,6032,8539,Other Allied Health Services,allied_health,NON,23,35,80,75,40,85,60,70,75
68608727680,608727680,BIOTECH PHYSIOTHERAPY PTY LTD,Biotech Physiotherapy,Australian Private Company,Waterford,South Perth,Perth - South West,WA,6152,8539,Other Allied Health Services,allied_health,CAN,10,35,80,75,45,90,60,75,75
49106172776,106172776,VISUAL SCIENCE OPTICAL PTY LTD,DANNELL & GOLLOP OPTOMETRISTS,Australian Private Company,Wilson,Kalamunda,Perth - South West,WA,6107,8539,Other Allied Health Services,allied_health,ACT,22,40,85,80,50,95,65,80,80
47315735908,,The Trustee for THE DESMOND BUSHELL FAMILY TRUST,MIRRABOOKA PHYSIOTHERAPY CLINIC,Discretionary Trading Trust,Westminster,Wanneroo,Perth - South West,WA,6061,8539,Other Allied Health Services,allied_health,ACT,26,40,85,80,50,95,65,80,80
56679062367,679062367,MOMENTUM HEALTH PTY LTD,MOMENTUM HEALTH GROUP,Australian Private Company,Willetton,Melville,Perth - South West,WA,6155,8539,Other Allied Health Services,allied_health,ACT,1,40,85,80,50,95,65,80,80
81191894637,,J.K NORDON & M.W RAMSAY,Home Physiotherapy Company,Other Partnership,Mount Pleasant,Melville,Perth - South West,WA,6153,8539,Other Allied Health Services,allied_health,ACT,15,40,85,80,50,95,65,80,80
33990146576,,JEANETTE WEIA NELLY LYNCH,JEANETTE LYNCH CLINICAL PSYCHOLOGIST,Individual/Sole Trader,Willetton,Melville,Perth - South West,WA,6155,8539,Other Allied Health Services,allied_health,ACT,6,40,85,80,45,90,65,75,80
63953661881,,MICHAEL THOMAS CARPENTER,RECOVERY FIRST PHYSIOTHERAPY,Individual/Sole Trader,Southern River,Gosnells,Perth - South West,WA,6110,8539,Other Allied Health Services,allied_health,NON,1,35,80,75,40,85,60,70,75
14308198758,,THE LOY TRUST,EYE M OPTOMETRIST,Discretionary Trading Trust,Shelley,Canning,Perth - South West,WA,6148,8539,Other Allied Health Services,allied_health,ACT,26,40,85,80,50,95,65,80,80
