abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
36493842088,,KYLIE ANNE OSBORNE,YOUR BEAUTY BAR,Individual/Sole Trader,Secret Harbour,Rockingham,Perth - South West,WA,6173,4512,Takeaway Food Services,bar_pub,ACT,9,50,75,85,55,90,65,80,60
47465875273,,NIKKI ALI,The Body Bar,Individual/Sole Trader,South Hedland,Port Hedland,Western Australia - Outback (South),WA,6722,4512,Takeaway Food Services,bar_pub,ACT,6,50,75,85,55,90,65,80,60
18140767796,,BARRY PETER RAYMOND DUNBAR,RAYMOND DUNBAR,Individual/Sole Trader,Tamala Park,Wanneroo,Perth - South West,WA,6030,4512,Takeaway Food Services,bar_pub,CAN,1,45,70,80,50,85,60,75,55
61113184179,113184179,Checkpoint Systems Pty Ltd,YERECOIN TAVERN,Australian Private Company,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,4512,Takeaway Food Services,bar_pub,CAN,21,45,70,80,55,90,60,80,55
43666455410,666455410,AVOCET ISLAND PTY LTD,TARCOOLA EXPRESS DRIVE THRU COFFEE,Australian Private Company,Woorree,Chapman Valley,Western Australia - Outback (South),WA,6530,4512,Takeaway Food Services,bar_pub,ACT,3,50,75,85,60,95,65,85,60
51085237321,,M.A PATTON & B.W TREW,Jenna Tavern,Family Partnership,Wongamine,Goomalling,Western Australia - Outback (South),WA,6401,4512,Takeaway Food Services,bar_pub,ACT,23,50,75,85,60,95,65,85,60
99589426529,,DANIEL JABBAR,,Individual/Sole Trader,Alkimos,Wanneroo,Perth - South West,WA,6038,4512,Takeaway Food Services,bar_pub,NON,1,45,70,80,50,85,60,75,55
97734387722,,DAVID BAR,ReBike,Individual/Sole Trader,Mosman Park,Mosman Park,Perth - South West,WA,6012,4512,Takeaway Food Services,bar_pub,NON,12,45,70,80,50,85,60,75,55
88290221212,,OLIVIA GRACE HUGHES,BEAUTIFY BAR,Individual/Sole Trader,Newman,East Pilbara,Western Australia - Outback (South),WA,6753,4512,Takeaway Food Services,bar_pub,NON,1,45,70,80,50,85,60,75,55
70854856886,,THOMAS WILLIAM WIDENBAR,,Individual/Sole Trader,Yangebup,Cockburn,Perth - South West,WA,6164,4512,Takeaway Food Services,bar_pub,ACT,0,50,75,85,55,90,65,80,60
