abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
72668078466,668078466,G-MC CONSTRUCTION PTY LTD,,Australian Private Company,Noranda,Bayswater,Perth - South West,WA,6062,3010,House Construction,building_construction,ACT,3,80,60,75,90,95,90,90,75
31161705059,161705059,T & S. CARPENTRY PTY LTD,,Australian Private Company,Wilson,Kalamunda,Perth - South West,WA,6107,3010,House Construction,building_construction,ACT,13,80,60,75,90,95,90,90,75
92318105689,,The Trustee for ELLISON-JUDGE FAMILY TRUST,Violet Skies Carpentry and Glazing,Discretionary Trading Trust,Baldivis,Rockingham,Western Australia - Wheat Belt,WA,6171,3010,House Construction,building_construction,ACT,12,80,60,75,90,95,90,90,75
66142693712,142693712,BOODJIDUP BUILDING PTY LTD,REDGATE BUILDING,Australian Private Company,Yebble,Nannup,Western Australia - Outback (South),WA,6285,3010,House Construction,building_construction,ACT,8,80,60,75,90,95,90,90,75
51674257419,674257419,MURTI BUILDING SERVICES PTY LTD,,Australian Private Company,Forrestfield,Kalamunda,Perth - South West,WA,6058,3010,House Construction,building_construction,ACT,2,80,60,75,90,95,90,90,75
20678666521,678666521,ZXY CONSTRUCTION PTY LTD,,Australian Private Company,Noranda,Bayswater,Perth - South West,WA,6062,3010,House Construction,building_construction,NON,1,80,60,75,90,95,90,90,75
93106071201,106071201,WA BUILDING & MAINTENANCE PTY LTD,Sheds n Homes Albany,Australian Private Company,Youngs Siding,Albany,Western Australia - Outback (South),WA,6330,3010,House Construction,building_construction,ACT,22,80,60,75,90,95,90,90,75
78686265634,,The Trustee for Stafford Family Trust,Stafford Building Solutions,Discretionary Trading Trust,Dianella,Bayswater,Perth - South West,WA,6059,3010,House Construction,building_construction,ACT,0,80,60,75,90,95,90,90,75
27009427098,009427098,R.E KELLY PTY LTD,R E KELLY CARPENTRY,Australian Private Company,Osborne Park Dc,Vincent,Perth - South West,WA,6017,3010,House Construction,building_construction,ACT,26,80,60,75,90,95,90,90,75
31416964717,,BRENT BURGHALL,Highside Carpentry,Individual/Sole Trader,Woodridge,Gingin,Western Australia - Wheat Belt,WA,6041,3010,House Construction,building_construction,ACT,15,80,60,75,85,90,90,85,75
