abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
59610126763,,LAUREE SHAREE ARNOLD,LAUREE ARNOLD LIFE COACH,Individual/Sole Trader,Windabout,Ravensthorpe,Western Australia - Outback (South),WA,6450,4610,Road Passenger Transport,bus_coach,NON,10,95,60,55,70,85,75,80,70
60991514296,,GEOFFREY LEON MEAD,SPECTRUM COACHES,Individual/Sole Trader,Wanneroo,Wanneroo,Perth - South West,WA,6065,4610,Road Passenger Transport,bus_coach,CAN,26,95,60,55,70,85,75,80,70
43151736891,151736891,Sharita Pty Ltd,Dr Sharon Elsley,Australian Private Company,Stirling,Stirling,Perth - South West,WA,6021,4610,Road Passenger Transport,bus_coach,ACT,14,100,65,60,80,95,80,90,75
45281890028,,BHUPINDER SINGH,JAG & JOR,Individual/Sole Trader,Baldivis,Rockingham,Western Australia - Wheat Belt,WA,6171,4610,Road Passenger Transport,bus_coach,CAN,0,95,60,55,70,85,75,80,70
40137075435,137075435,BUSINESS EDUCATION INSTITUTE PTY LTD,Business Education Institute,Australian Private Company,Subiaco East,Cambridge,Perth - South West,WA,6008,4610,Road Passenger Transport,bus_coach,ACT,17,100,65,60,80,95,80,90,75
85169889876,,TIFFANI CAPRI NEBLETT,Mindful Hearts Personal Development Coaching and Advocacy,Individual/Sole Trader,Yanchep,Wanneroo,Western Australia - Wheat Belt,WA,6035,4610,Road Passenger Transport,bus_coach,ACT,2,100,65,60,75,90,80,85,75
66281335855,,PETA NICOLE NELSON,THRIVE COACHING & DEVELOPMENT,Individual/Sole Trader,Walliston Dc,Mundaring,Western Australia - Wheat Belt,WA,6076,4610,Road Passenger Transport,bus_coach,NON,2,95,60,55,70,85,75,80,70
75065106671,,THOMAS SIDERIS,BEARBULL,Individual/Sole Trader,Willagee Central,Melville,Perth - South West,WA,6156,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,75,90,80,85,75
54196977504,,SUSANA BEATRIZ GORNATTI,HEALTH AND BALANCE NATURAL THERAPY CLINIC,Individual/Sole Trader,Dianella,Bayswater,Perth - South West,WA,6059,4610,Road Passenger Transport,bus_coach,CAN,26,95,60,55,70,85,75,80,70
44229361987,,CATHERINE LORRAINE MANN,Bite The Peach,Individual/Sole Trader,Maylands,Bayswater,Perth - South West,WA,6051,4610,Road Passenger Transport,bus_coach,ACT,20,100,65,60,75,90,80,85,75
