abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
38103606447,,A.A GATERELL & A.A STRUTTON,Pinjarra Diner,Family Partnership,West Pinjarra,Murray,Western Australia - Wheat Belt,WA,6208,4511,Cafes and Restaurants,cafe_restaurant,ACT,3,45,75,90,55,90,60,80,60
42718147628,,The Trustee for Esprezzo Unit Trust,ESPREZZO CAFE,Fixed Unit Trust,Wanneroo,Wanneroo,Perth - South West,WA,6065,4511,Cafes and Restaurants,cafe_restaurant,ACT,2,45,75,90,55,90,60,80,60
50295679550,,The Trustee for Tony Barile Family Trust No. 2,SIXTH STREET CAFE,Discretionary Trading Trust,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,4511,Cafes and Restaurants,cafe_restaurant,ACT,20,45,75,90,55,90,60,80,60
48560846514,,ALYSSA ELIZABETH SCAFETTA,,Individual/Sole Trader,Ballajura,Swan,Perth - South West,WA,6066,4511,Cafes and Restaurants,cafe_restaurant,NON,1,40,70,85,45,80,55,70,55
73075782770,,ARAZ SABRI,NEWROZ KEBABS MALAGA,Individual/Sole Trader,Wanneroo,Wanneroo,Perth - South West,WA,6065,4511,Cafes and Restaurants,cafe_restaurant,ACT,19,45,75,90,50,85,60,75,60
21428668454,,ANDREW LESLIE FARMER,Pyramids Beach Cafe,Individual/Sole Trader,Herron,Waroona,Western Australia - Wheat Belt,WA,6211,4511,Cafes and Restaurants,cafe_restaurant,ACT,9,45,75,90,50,85,60,75,60
28293248619,,THE WHEELDON FAMILY TRUST,EDENHOPE & CO,Discretionary Trading Trust,Wannanup,Mandurah,Perth - South West,WA,6210,4511,Cafes and Restaurants,cafe_restaurant,ACT,26,45,75,90,55,90,60,80,60
29627250466,,The Trustee for Berkman Family Trust,Bistro Breton,Discretionary Trading Trust,Yoongarillup,Capel,Western Australia - Wheat Belt,WA,6280,4511,Cafes and Restaurants,cafe_restaurant,ACT,0,45,75,90,55,90,60,80,60
37754108247,,The Trustee for The PS & J Barbouttis Family Trust,Aposto Cafe,Discretionary Trading Trust,West Leederville,Vincent,Perth - South West,WA,6007,4511,Cafes and Restaurants,cafe_restaurant,CAN,7,40,70,85,50,85,55,75,55
55675530757,675530757,DAON HOLDINGS PTY LTD,TOCTOC CAFE,Australian Private Company,Perth Gpo,Vincent,Perth - South West,WA,6000,4511,Cafes and Restaurants,cafe_restaurant,ACT,2,45,75,90,55,90,60,80,60
88614425277,614425277,BLUE OCEAN (BISTRO 21) PTY LTD,,Australian Private Company,Mount Pleasant,Melville,Perth - South West,WA,6153,4511,Cafes and Restaurants,cafe_restaurant,CAN,9,40,70,85,50,85,55,75,55
30159313190,,MOHAMAD ALI,Kalbarri store,Individual/Sole Trader,Thornlie,Gosnells,Perth - South West,WA,6108,4511,Cafes and Restaurants,cafe_restaurant,ACT,1,45,75,90,50,85,60,75,60
89468712497,,F.L LETIZIA & S LETIZIA & The Trustee for G & G SCAFETTA TRUST & VIVA DEVELOPMENTS PTY LTD,,Other Partnership,Spearwood,Fremantle,Perth - South West,WA,6163,4511,Cafes and Restaurants,cafe_restaurant,ACT,16,45,75,90,55,90,60,80,60
36494436402,,The Trustee for The Beeliar Two Unit Trust,Big Bob's Fish & Burger Bar,Fixed Unit Trust,Fremantle,Fremantle,Perth - South West,WA,6160,4511,Cafes and Restaurants,cafe_restaurant,ACT,10,45,75,90,55,90,60,80,60
19649335142,649335142,HCCT PTY LTD,Pho Hung Highclere BMT Rolls and Cafe,Australian Private Company,Marangaroo,Wanneroo,Perth - South West,WA,6064,4511,Cafes and Restaurants,cafe_restaurant,ACT,5,45,75,90,55,90,60,80,60
60657074050,657074050,OH BISTRO PTY LTD,,Australian Private Company,Northbridge,Perth,Perth - South West,WA,6003,4511,Cafes and Restaurants,cafe_restaurant,ACT,4,45,75,90,55,90,60,80,60
60148762329,,CLASSIQUE FAMILY TRUST & THE TRUSTEE FOR THE SCAFETTA FAMILY TRUST,THE SCAFETTA FAMILY TRUST AND THE CLASSIQUE FAMILY TRUST,Other Partnership,Spearwood,Fremantle,Perth - South West,WA,6163,4511,Cafes and Restaurants,cafe_restaurant,ACT,15,45,75,90,55,90,60,80,60
49648818124,648818124,NEDGO PTY LTD,LO QUAY RIVER CAFE,Australian Private Company,Swanbourne,Cottesloe,Perth - South West,WA,6010,4511,Cafes and Restaurants,cafe_restaurant,ACT,5,45,75,90,55,90,60,80,60
73178393084,,The Trustee for Sundrani Family Trust,My Junction Cafe,Discretionary Investment Trust,Alkimos,Wanneroo,Perth - South West,WA,6038,4511,Cafes and Restaurants,cafe_restaurant,ACT,1,45,75,90,55,90,60,80,60
66428690898,,The Trustee for Ray and Ming Family Trust,8AM Cafe,Discretionary Trading Trust,Yangebup,Cockburn,Perth - South West,WA,6164,4511,Cafes and Restaurants,cafe_restaurant,ACT,2,45,75,90,55,90,60,80,60
60667249345,667249345,THE AKERSTROM GROUP PTY LTD,NEPTUNES CAFE,Australian Private Company,Two Rocks,Wanneroo,Western Australia - Wheat Belt,WA,6037,4511,Cafes and Restaurants,cafe_restaurant,ACT,3,45,75,90,55,90,60,80,60
18672422178,672422178,BLUE JUNGLE FOOD PTY LTD,Blue Tiger Cafe,Australian Private Company,Yanmah,Nannup,Western Australia - Outback (South),WA,6258,4511,Cafes and Restaurants,cafe_restaurant,ACT,2,45,75,90,55,90,60,80,60
35681648171,681648171,D.ZAHRA PTY LTD,Mardin Cafe,Australian Private Company,Quindalup,Busselton,Western Australia - Wheat Belt,WA,6281,4511,Cafes and Restaurants,cafe_restaurant,ACT,1,45,75,90,55,90,60,80,60
61153969343,153969343,Senoco Pty Ltd,Evviva Cafe,Australian Private Company,Quindalup,Busselton,Western Australia - Wheat Belt,WA,6281,4511,Cafes and Restaurants,cafe_restaurant,CAN,14,40,70,85,50,85,55,75,55
56858788747,,The Trustee for Rosy & Cliff Kinneen Family Trust,bunch cafe,Discretionary Investment Trust,Subiaco East,Cambridge,Perth - South West,WA,6008,4511,Cafes and Restaurants,cafe_restaurant,ACT,13,45,75,90,55,90,60,80,60
