abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
72671802387,671802387,CIVIL SERVICES WA PTY LTD,,Australian Private Company,Tamala Park,Wanneroo,Perth - South West,WA,6030,3109,Heavy & Civil Engineering,civil_contractors,ACT,2,95,60,65,100,100,100,95,85
74968743661,,BRITTANY NATASHA SHERWOOD,MOORDITJ CONTRACTING SERVICES,Individual/Sole Trader,Woodridge,Gingin,Western Australia - Wheat Belt,WA,6041,3109,Heavy & Civil Engineering,civil_contractors,NON,6,95,60,65,100,95,100,90,85
86713036904,,M.A BUCKLAND & S.J BUCKLAND,BUCKLAND CONTRACTING,Other Partnership,West Pinjarra,Murray,Western Australia - Wheat Belt,WA,6208,3109,Heavy & Civil Engineering,civil_contractors,ACT,3,95,60,65,100,100,100,95,85
27299639218,,K.M READ & P.H READ,PK READ CONTRACTING,Family Partnership,Walyunga National Park,Chittering,Western Australia - Outback (South),WA,6084,3109,Heavy & Civil Engineering,civil_contractors,ACT,23,95,60,65,100,100,100,95,85
40671440109,671440109,GLASGOW CONTRACTING SERVICES PTY LTD,,Australian Private Company,Muchea,Chittering,Western Australia - Wheat Belt,WA,6501,3109,Heavy & Civil Engineering,civil_contractors,ACT,2,95,60,65,100,100,100,95,85
54642310941,642310941,J.TURNER CONTRACTING PTY LTD,TURNPRO CONSTRUCTION,Australian Private Company,Winnejup,Boyup Brook,Western Australia - Outback (South),WA,6255,3109,Heavy & Civil Engineering,civil_contractors,ACT,5,95,60,65,100,100,100,95,85
62334162261,,ASHLEY WILLIAM BUSWELL,painting contractors,Individual/Sole Trader,Wellesley,Bunbury,Western Australia - Wheat Belt,WA,6233,3109,Heavy & Civil Engineering,civil_contractors,NON,0,95,60,65,100,95,100,90,85
47962073260,,The Trustee for The SKR Trust,KSR Contracting,Discretionary Trading Trust,Willetton,Melville,Perth - South West,WA,6155,3109,Heavy & Civil Engineering,civil_contractors,ACT,6,95,60,65,100,100,100,95,85
23598893204,,The Trustee for Darren Best Family Trust,AVON AND HILLS FARM CONTRACTING,Discretionary Trading Trust,West Toodyay,Toodyay,Western Australia - Outback (South),WA,6566,3109,Heavy & Civil Engineering,civil_contractors,ACT,17,95,60,65,100,100,100,95,85
71656568740,656568740,EVANS RURAL CONTRACTING WA PTY LTD,,Australian Private Company,Oldbury,Serpentine-Jarrahdale,Perth - South West,WA,6121,3109,Heavy & Civil Engineering,civil_contractors,ACT,4,95,60,65,100,100,100,95,85
