abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
76892748519,,DIANE ELIZABETH UNWIN,REDDUST CLEANING,Individual/Sole Trader,Newman,East Pilbara,Western Australia - Outback (South),WA,6753,7322,Building Cleaning Services,cleaning_restoration,CAN,16,70,85,80,50,75,85,85,70
23602713552,,JENNIFER MORTON,HEALTHY HOMES CLEANING SERVICE,Individual/Sole Trader,East Fremantle,East Fremantle,Perth - South West,WA,6158,7322,Building Cleaning Services,cleaning_restoration,NON,18,70,85,80,50,75,85,85,70
89164732597,,The Trustee for The Patten Trading Trust,PR11 Window Cleaning,Discretionary Trading Trust,Willetton,Melville,Perth - South West,WA,6155,7322,Building Cleaning Services,cleaning_restoration,CAN,13,70,85,80,55,80,85,90,70
23897362317,,YAANISH RAMPHAL,GLEAMWORKS CLEANING SERVICES,Individual/Sole Trader,Wungong,Armadale,Perth - South West,WA,6112,7322,Building Cleaning Services,cleaning_restoration,NON,2,70,85,80,50,75,85,85,70
57657452295,,YIDEG GEBREMESKEL,MASTER CLEAN CLEANING SERVICE,Individual/Sole Trader,St James,South Perth,Perth - South West,WA,6102,7322,Building Cleaning Services,cleaning_restoration,ACT,6,70,85,80,50,75,85,85,70
70846344186,,THE TRUSTEE FOR THE RC & CM MEZGER FAMILY TRUST,Russell Mezger Motors,Discretionary Trading Trust,Woorree,Chapman Valley,Western Australia - Outback (South),WA,6530,7322,Building Cleaning Services,cleaning_restoration,ACT,20,70,85,80,55,80,85,90,70
79220160480,,Eyes 4 Detail Cleaning Services,,Other Unincorporated Entity,Perth Gpo,Vincent,Perth - South West,WA,6000,7322,Building Cleaning Services,cleaning_restoration,NON,12,70,85,80,50,75,85,85,70
60427282660,,K.S FOSTER & L.R GILLELAND,FM CLEANING SERVICE PERTH,Other Partnership,Wandi,Serpentine-Jarrahdale,Perth - South West,WA,6167,7322,Building Cleaning Services,cleaning_restoration,CAN,4,70,85,80,55,80,85,90,70
86468038332,,D.R JONES & M JONES,Reliable Cleaning Services,Family Partnership,Walyunga National Park,Chittering,Western Australia - Outback (South),WA,6084,7322,Building Cleaning Services,cleaning_restoration,ACT,23,70,85,80,55,80,85,90,70
45135198612,,SAMUEL ADILI,VIIDA CLEANING SERVICES,Individual/Sole Trader,Wungong,Armadale,Perth - South West,WA,6112,7322,Building Cleaning Services,cleaning_restoration,ACT,3,70,85,80,50,75,85,85,70
