abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
62670248389,670248389,BARLOW MANAGEMENT CONSULTANTS PTY LTD,,Australian Private Company,Wembley Downs,Cambridge,Perth - South West,WA,6019,6960,Management and Related Consulting Services,consulting,ACT,2,45,90,95,40,80,25,85,85
51552345075,,The trustee for Louwrens Family Trust,Stratbits Consulting,Discretionary Trading Trust,Walyunga National Park,Chittering,Western Australia - Outback (South),WA,6084,6960,Management and Related Consulting Services,consulting,ACT,21,45,90,95,40,80,25,85,85
97876287383,,THE BRESAL FAMILY TRUST,BRESAL CONSULTING,Discretionary Services Management Trust,Glengarry,Joondalup,Perth - South West,WA,6023,6960,Management and Related Consulting Services,consulting,ACT,26,45,90,95,40,80,25,85,85
44781602325,,The Trustee for PHILLIP POWER FAMILY TRUST,PHILLIP POWER FAMILY TRUST,Discretionary Trading Trust,Subiaco East,Cambridge,Perth - South West,WA,6008,6960,Management and Related Consulting Services,consulting,ACT,24,45,90,95,40,80,25,85,85
62838501293,,KALIOPI STEPHENS,Kaliopi Consulting,Individual/Sole Trader,Kinross,Joondalup,Perth - South West,WA,6028,6960,Management and Related Consulting Services,consulting,NON,0,40,85,90,30,70,20,75,80
20163771784,163771784,BIRMAT CONSULTING PTY LTD,,Australian Private Company,Waterford,South Perth,Perth - South West,WA,6152,6960,Management and Related Consulting Services,consulting,ACT,13,45,90,95,40,80,25,85,85
13245912438,,HAZEL J WEMPER & PETER J SAXON,HEADWORKS CONSULTING,Family Partnership,West Swan,Mundaring,Perth - South West,WA,6055,6960,Management and Related Consulting Services,consulting,ACT,26,45,90,95,40,80,25,85,85
65128768641,128768641,TPS Consulting (WA) Pty Ltd,,Australian Private Company,Withers,Dardanup,Western Australia - Wheat Belt,WA,6230,6960,Management and Related Consulting Services,consulting,NON,18,40,85,90,35,75,20,80,80
65701411571,,AUBREY LYNCH,AL Consulting,Individual/Sole Trader,Yilkari,Kalgoorlie-Boulder,Western Australia - Outback (South),WA,6430,6960,Management and Related Consulting Services,consulting,ACT,12,45,90,95,35,75,25,80,85
42108389936,,The Trustee for P D Worthington Consulting Trust,P D Worthington Consulting,Discretionary Trading Trust,Redcliffe,Belmont,Perth - South West,WA,6104,6960,Management and Related Consulting Services,consulting,ACT,8,45,90,95,40,80,25,85,85
