abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
68257873345,,The Trustee for KMT Dental Unit Trust,,Fixed Unit Trust,Parkwood,Gosnells,Perth - South West,WA,6147,8530,Dental Services,dental,ACT,13,35,90,85,45,90,65,75,80
92833935684,,KEITH KESTER WONG,ROSEBERY DENTAL CLINIC,Individual/Sole Trader,Inglewood,Stirling,Perth - South West,WA,6052,8530,Dental Services,dental,ACT,25,35,90,85,40,85,65,70,80
72631647820,631647820,MAKSAD GROUP HOLDINGS PTY LTD,BRABHAM SMILE,Australian Private Company,Mundaring Weir,Mundaring,Perth - South West,WA,6073,8530,Dental Services,dental,ACT,7,35,90,85,45,90,65,75,80
92957072257,,PHEBE DAMAYANTI SUGIARTO,Karratha Orthodontic Clinic,Individual/Sole Trader,Nedlands Dc,Perth,Perth - South West,WA,6009,8530,Dental Services,dental,ACT,2,35,90,85,40,85,65,70,80
40637183227,637183227,ANGIE DENTAL PTY LTD,,Australian Private Company,Willetton,Melville,Perth - South West,WA,6155,8530,Dental Services,dental,CAN,6,30,85,80,40,85,60,70,75
67600344947,600344947,DENTAL EXCELLENCE GROUP PTY LTD,,Australian Private Company,Mount Hawthorn,Stirling,Perth - South West,WA,6016,8530,Dental Services,dental,NON,11,30,85,80,40,85,60,70,75
68279363536,,The Trustee for The A and F Dental Service Trust,,Discretionary Services Management Trust,Swanbourne,Cottesloe,Perth - South West,WA,6010,8530,Dental Services,dental,ACT,15,35,90,85,45,90,65,75,80
84902331514,,The Trustee for Banksia Grove Dental Trust,Banksia Grove Family Dental,Fixed Unit Trust,Perth Gpo,Vincent,Perth - South West,WA,6000,8530,Dental Services,dental,CAN,11,30,85,80,40,85,60,70,75
92935943580,,The Trustee for DENTALVERSE TRUST,,Discretionary Services Management Trust,Willetton,Melville,Perth - South West,WA,6155,8530,Dental Services,dental,ACT,3,35,90,85,45,90,65,75,80
77009437469,009437469,S R P PTY LTD,ACCUDENT DENTAL LABORATORY,Australian Private Company,Westminster,Wanneroo,Perth - South West,WA,6061,8530,Dental Services,dental,ACT,26,35,90,85,45,90,65,75,80
