abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
21158407526,158407526,FORTE EQUIPMENT PTY. LTD.,Forte Plant Hire,Australian Private Company,Wandi,Serpentine-Jarrahdale,Perth - South West,WA,6167,3101,Site Preparation,earthmoving_excavation,ACT,13,100,50,60,100,95,100,85,80
28009398396,009398396,TARRILLION HOLDINGS PTY LTD,HENLEY BROOK EARTHMOVING,Australian Private Company,Walyunga National Park,Chittering,Western Australia - Outback (South),WA,6084,3101,Site Preparation,earthmoving_excavation,ACT,26,100,50,60,100,95,100,85,80
36367395030,,KL GREGORY A KNIGHT & WARATAH HEIGHTS LTD,KEITH GREGORY BOBCAT HIRE,Family Partnership,Woorree,Chapman Valley,Western Australia - Outback (South),WA,6530,3101,Site Preparation,earthmoving_excavation,ACT,26,100,50,60,100,95,100,85,80
85284672720,,JEREMY NAYNA,J&N EXCAVATIONS AND EARTHMOVING,Individual/Sole Trader,Tamala Park,Wanneroo,Perth - South West,WA,6030,3101,Site Preparation,earthmoving_excavation,NON,1,100,50,60,100,90,100,80,80
29636945054,636945054,WA MECHANICAL AND SITE SERVICES PTY LTD,STREAMLINE PLANT HIRE,Australian Private Company,Millbridge,Dardanup,Western Australia - Wheat Belt,WA,6232,3101,Site Preparation,earthmoving_excavation,ACT,6,100,50,60,100,95,100,85,80
95525960284,,EDWARD JAMES BRIDE,GREAT SOUTHERN BOBCAT SERVICES 6317,Individual/Sole Trader,South Glencoe,Dumbleyung,Western Australia - Outback (South),WA,6317,3101,Site Preparation,earthmoving_excavation,CAN,3,100,50,60,100,90,100,80,80
47643567748,643567748,PARKLINE ENTERPRISES PTY LTD,EZEE PLANT HIRE,Australian Private Company,Herron,Waroona,Western Australia - Wheat Belt,WA,6211,3101,Site Preparation,earthmoving_excavation,ACT,5,100,50,60,100,95,100,85,80
85202625783,,BENJAMIN LESLIE EDMONDS,BL's Bobcat And Mechanical Services,Individual/Sole Trader,Yardarino,Irwin,Western Australia - Outback (South),WA,6525,3101,Site Preparation,earthmoving_excavation,ACT,10,100,50,60,100,90,100,80,80
13118290398,,The Trustee for Jilakin Earthmoving Trust,,Fixed Unit Trust,Kulin West,Kulin,Western Australia - Outback (South),WA,6365,3101,Site Preparation,earthmoving_excavation,ACT,8,100,50,60,100,95,100,85,80
30854815543,,The Trustee for McGinn Family Trust,Gingin Nursery & Plant Hire,Discretionary Trading Trust,Wanneroo,Wanneroo,Perth - South West,WA,6065,3101,Site Preparation,earthmoving_excavation,ACT,1,100,50,60,100,95,100,85,80
