abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
39631785889,631785889,SNB ELECTRICAL PTY LTD,,Australian Private Company,Thornlie,Gosnells,Perth - South West,WA,6108,3421,Electrical Services,electrical,ACT,7,75,90,80,55,90,90,95,100
96009241503,,M.G DUNLOP & H.M KING,DUNLOP ELECTRICS,Other Partnership,West Pinjarra,Murray,Western Australia - Wheat Belt,WA,6208,3421,Electrical Services,electrical,ACT,20,75,90,80,55,90,90,95,100
68643208548,643208548,MORRISON BWM PTY LTD,Completely Electrical,Australian Private Company,Westfield,Kalamunda,Western Australia - Wheat Belt,WA,6111,3421,Electrical Services,electrical,NON,5,75,90,80,55,90,90,95,100
73348622010,,WYBURN GLENN TAYLOR,INKJET WHOLESALE,Individual/Sole Trader,Willetton,Canning,Perth - South West,WA,6955,3421,Electrical Services,electrical,CAN,0,75,90,80,50,85,90,90,100
41824961854,,The Trustee for THE STANLEY FAMILY TRUST,BOB STANLEY & SON BEDDING & FURNITURE SUPERCENTRE,Discretionary Trading Trust,Orange Grove,Gosnells,Perth - South West,WA,6109,3421,Electrical Services,electrical,CAN,26,75,90,80,55,90,90,95,100
65867858595,,The Trustee for Maltby Trust,ELCON SERVICES ELECTRICAL CONTRACTORS,Discretionary Trading Trust,Wungong,Armadale,Perth - South West,WA,6112,3421,Electrical Services,electrical,ACT,10,75,90,80,55,90,90,95,100
94008915026,008915026,NOVA GROUP ENTERPRISES PTY LTD,BigSky Wash,Australian Private Company,Morangup,Mundaring,Western Australia - Wheat Belt,WA,6083,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
40402356062,,The Trustee for The Electrical & Refrigeration Trust,,Discretionary Investment Trust,Yoongarillup,Capel,Western Australia - Wheat Belt,WA,6280,3421,Electrical Services,electrical,NON,2,75,90,80,55,90,90,95,100
16967841412,,SHAD RYAN,Point2Point Electrical & Data,Individual/Sole Trader,Padbury,Joondalup,Perth - South West,WA,6025,3421,Electrical Services,electrical,ACT,12,75,90,80,50,85,90,90,100
90666038508,666038508,ELECTRICAL JOBS PTY LTD,WATTS ON ELECTRICAL CONTRACTING,Australian Private Company,Westfield,Kalamunda,Western Australia - Wheat Belt,WA,6111,3421,Electrical Services,electrical,ACT,2,75,90,80,55,90,90,95,100
