abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
70678140639,678140639,PEEL GLASS & GLAZING PTY LTD,peel glass & glazing,Australian Private Company,West Pinjarra,Murray,Western Australia - Wheat Belt,WA,6208,3433,Glazing Services,glaziers,NON,1,60,60,75,55,80,80,75,65
34301481939,,JOANNE CAMPBELL-FOULKES,Jemi Art Glass Beads and Textiles,Individual/Sole Trader,Tamala Park,Wanneroo,Perth - South West,WA,6030,3433,Glazing Services,glaziers,ACT,8,60,60,75,50,75,80,70,65
19100173706,100173706,FORTRESS CORPORATION PTY LTD,IKON GLASS,Australian Private Company,Wanneroo,Wanneroo,Perth - South West,WA,6065,3433,Glazing Services,glaziers,ACT,24,60,60,75,55,80,80,75,65
22693198793,693198793,GLASS ENTERPRISE HOLDINGS PTY LTD,Novus Glass Bibra Lake,Australian Private Company,Wongamine,Goomalling,Western Australia - Outback (South),WA,6401,3433,Glazing Services,glaziers,ACT,0,60,60,75,55,80,80,75,65
11640214473,640214473,BUNNEY HOLDINGS PTY LTD,Bunneys Glass And Aluminium,Australian Private Company,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,3433,Glazing Services,glaziers,ACT,6,60,60,75,55,80,80,75,65
60935928381,,DEBBIE ORMESHER,GLASS & GRAZE,Individual/Sole Trader,Jindalee,Wanneroo,Perth - South West,WA,6036,3433,Glazing Services,glaziers,NON,1,60,60,75,50,75,80,70,65
23698266261,,PETER JAMES ANDREW GOVAN,CLEAN LINES GLASS & GLAZING,Individual/Sole Trader,Palmyra Dc,Melville,Perth - South West,WA,6157,3433,Glazing Services,glaziers,ACT,6,60,60,75,50,75,80,70,65
82682210759,,SHAUN WILLIAM CECHNER,Guitar By The Glass,Individual/Sole Trader,Inglewood,Stirling,Perth - South West,WA,6052,3433,Glazing Services,glaziers,NON,0,60,60,75,50,75,80,70,65
22918105980,,SHAUN MARGARET GLASS,aglassyday surf coaching,Individual/Sole Trader,Yuna,Shark Bay,Western Australia - Outback (South),WA,6532,3433,Glazing Services,glaziers,NON,11,60,60,75,50,75,80,70,65
83284526365,,MICHAEL JASON TAULAGAUA,Strike Glass,Individual/Sole Trader,Southern River,Gosnells,Perth - South West,WA,6110,3433,Glazing Services,glaziers,ACT,2,60,60,75,50,75,80,70,65
