abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
61629410108,629410108,NATURALISTE AIR CONDITIONING PTY LTD,Natac,Australian Private Company,Quindalup,Busselton,Western Australia - Wheat Belt,WA,6281,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,7,80,90,80,65,90,90,95,100
90846317870,,MATTHEW BARDEN,CONTROLLED CLIMATE REFRIGERATION,Individual/Sole Trader,Perth Airport,Kalamunda,Perth - South West,WA,6105,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,17,80,90,80,60,85,90,90,100
99135928330,,RONALD CARTERTON,CBS RADIANT HEATING,Individual/Sole Trader,Stirling,Stirling,Perth - South West,WA,6021,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,9,80,90,80,60,85,90,90,100
61632918180,,SCOTT THOMSON,THE GAS EXPERTS,Individual/Sole Trader,Woodvale,Wanneroo,Perth - South West,WA,6026,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,24,80,90,80,60,85,90,90,100
73630503267,630503267,APEX SERVICES (WA) PTY LTD,ChillMasters Air conditioning,Australian Private Company,North Perth,Vincent,Perth - South West,WA,6006,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,7,80,90,80,65,90,90,95,100
43102327604,102327604,QUALITY AIR & REFRIGERATION SYSTEMS PTY LTD,Quality Air & Refrigeration Systems,Australian Private Company,Osborne Park Dc,Vincent,Perth - South West,WA,6017,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,23,80,90,80,65,90,90,95,100
79662270706,662270706,SUCCESS AC AND REFRIGERATION PTY LTD,,Australian Private Company,Yangebup,Cockburn,Perth - South West,WA,6164,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,3,80,90,80,65,90,90,95,100
63534136156,,MOHAMED IQBAL,AMANA AIRCONDITIONING SERVICES,Individual/Sole Trader,Orange Grove,Gosnells,Perth - South West,WA,6109,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,4,80,90,80,60,85,90,90,100
84681809467,,HUZAIMIN RAHEEM YASERIE,ATOLL AIR CONDITIONING,Individual/Sole Trader,West Island Cocos (Keeling) Islands,,Other Territories,WA,6799,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,NON,2,80,90,80,60,85,90,90,100
46064982681,064982681,MINDARIE POINT PTY LTD,AABEL RADIATORS & AIRCONDITIONING SERVICE,Australian Private Company,Westminster,Wanneroo,Perth - South West,WA,6061,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,26,80,90,80,65,90,90,95,100
