abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
65491125856,,TRENT SMITH,elitech ceilings,Individual/Sole Trader,Noranda,Bayswater,Perth - South West,WA,6062,3429,Other Building Installation,insulation,CAN,21,65,55,70,50,75,90,70,70
73253520050,,The Trustee for HOFFMAN FAMILY TRUST,WESTWIDE WALLS & CEILINGS,Discretionary Trading Trust,Wannanup,Mandurah,Perth - South West,WA,6210,3429,Other Building Installation,insulation,ACT,18,65,55,70,55,80,90,75,70
58481322082,,MAREK MOSOR,NEW CEILINGS,Individual/Sole Trader,Dianella,Bayswater,Perth - South West,WA,6059,3429,Other Building Installation,insulation,NON,12,65,55,70,50,75,90,70,70
54634378454,,RICHARD ALAN GARBELLINI,NORTH METRO WALLS & CEILINGS,Individual/Sole Trader,Stirling Estate,Capel,Western Australia - Wheat Belt,WA,6271,3429,Other Building Installation,insulation,CAN,2,65,55,70,50,75,90,70,70
21105606682,,DEAN MANN,P K CEILINGS,Individual/Sole Trader,Warnbro,Rockingham,Perth - South West,WA,6169,3429,Other Building Installation,insulation,CAN,26,65,55,70,50,75,90,70,70
88220443798,,PHILIP STEVEN WEST,Ceilings West,Individual/Sole Trader,Inglewood,Stirling,Perth - South West,WA,6052,3429,Other Building Installation,insulation,ACT,17,65,55,70,50,75,90,70,70
13796168194,,ADAM KARANIKIS,ADAMS INTERIOR LININGS,Individual/Sole Trader,Port Kennedy,Rockingham,Perth - South West,WA,6172,3429,Other Building Installation,insulation,ACT,19,65,55,70,50,75,90,70,70
33283102215,,DAVID PAUL PRICE,COCKBURN CEILINGS,Individual/Sole Trader,Yangebup,Cockburn,Perth - South West,WA,6164,3429,Other Building Installation,insulation,NON,0,65,55,70,50,75,90,70,70
40554317138,,The Trustee for Expressive Ceilings Trust,,Discretionary Trading Trust,Willetton,Melville,Perth - South West,WA,6155,3429,Other Building Installation,insulation,ACT,18,65,55,70,55,80,90,75,70
28685088215,685088215,PRO CEILING FIXTER PTY LTD,,Australian Private Company,Inglewood,Stirling,Perth - South West,WA,6052,3429,Other Building Installation,insulation,ACT,1,65,55,70,55,80,90,75,70
