abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
32517628163,,STEPHEN JAMES DICK,STEVE IRRIGATION SERVICES,Individual/Sole Trader,Wannanup,Mandurah,Perth - South West,WA,6210,3523,Landscape Construction,landscaping,ACT,20,80,70,80,90,70,90,75,65
39309034181,,PAUL ANTHONY HODGKINSON,Vimoway Caring and Gardening,Individual/Sole Trader,Winnejup,Boyup Brook,Western Australia - Outback (South),WA,6255,3523,Landscape Construction,landscaping,NON,0,80,70,80,90,70,90,75,65
79689218661,,N.J ECKARD & S ECKARD,I BEG YOUR GARDEN LAWN CARE,Family Partnership,Woorree,Chapman Valley,Western Australia - Outback (South),WA,6530,3523,Landscape Construction,landscaping,ACT,4,80,70,80,95,75,90,80,65
41008820844,008820844,DESIGN8 PTY LTD,Water Well Reticulation,Australian Private Company,Nedlands Dc,Perth,Perth - South West,WA,6009,3523,Landscape Construction,landscaping,ACT,26,80,70,80,95,75,90,80,65
12942396339,,D.C LEE & S.L LEE,Lee D & S,Family Partnership,Wilson,Kalamunda,Perth - South West,WA,6107,3523,Landscape Construction,landscaping,ACT,14,80,70,80,95,75,90,80,65
69592458386,,JAMES JARRETT,GET CUT LAWN MAINTENANCE,Individual/Sole Trader,Maida Vale,Swan,Perth - South West,WA,6057,3523,Landscape Construction,landscaping,NON,1,80,70,80,90,70,90,75,65
86545341481,,CHRISTOPHER GEORGE SWAN,WORK OF ART PICTURE FRAMING,Individual/Sole Trader,Waterford,South Perth,Perth - South West,WA,6152,3523,Landscape Construction,landscaping,NON,25,80,70,80,90,70,90,75,65
88101328525,,The Trustee for Bullsbrook Lawn Farm Unit Trust,,Fixed Unit Trust,Swanbourne,Cottesloe,Perth - South West,WA,6010,3523,Landscape Construction,landscaping,ACT,1,80,70,80,95,75,90,80,65
96130968777,130968777,KAASS PTY LTD,BROOME RETICULATION,Australian Private Company,Cable Beach,Broome,Western Australia - Outback (South),WA,6726,3523,Landscape Construction,landscaping,CAN,18,80,70,80,95,75,90,80,65
41127099436,,EASTERN DISTRICTS LAWN TENNISASSOCIATION ZONE 5,,Other Incorporated Entity,Kulin West,Kulin,Western Australia - Outback (South),WA,6365,3523,Landscape Construction,landscaping,NON,25,80,70,80,90,70,90,75,65
