abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
43113567623,113567623,KNK Group Pty Ltd,ANY DOORS,Australian Private Company,Padbury,Joondalup,Perth - South West,WA,6025,8511,General Practice Medical Services,medical,ACT,21,35,90,80,45,90,65,75,80
31643558329,643558329,R & K MEDICAL PTY LTD,DOCTORS CORNER,Australian Private Company,Inglewood,Stirling,Perth - South West,WA,6052,8511,General Practice Medical Services,medical,ACT,5,35,90,80,45,90,65,75,80
24324294756,,NANCY DOCTOR MARCELO,,Individual/Sole Trader,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,8511,General Practice Medical Services,medical,NON,2,30,85,75,35,80,60,65,75
40617398566,,MCCOURT STREET MEDICAL CENTRE,,Strata-title,West Leederville,Vincent,Perth - South West,WA,6007,8511,General Practice Medical Services,medical,CAN,26,30,85,75,35,80,60,65,75
70074732737,074732737,FREO DOCTOR MARINE & MECHANICAL SERVICES PTY LTD,,Australian Private Company,Spearwood,Fremantle,Perth - South West,WA,6163,8511,General Practice Medical Services,medical,NON,25,30,85,75,40,85,60,70,75
72314883053,,KANWAL JIT SINGH,BURSLEM MEDICAL CENTRE,Individual/Sole Trader,Orange Grove,Gosnells,Perth - South West,WA,6109,8511,General Practice Medical Services,medical,ACT,26,35,90,80,40,85,65,70,80
43161001510,161001510,DAPA NOMINEES PTY LTD,MYAREE MEDICAL CENTRE,Australian Private Company,Myaree,Melville,Perth - South West,WA,6154,8511,General Practice Medical Services,medical,ACT,13,35,90,80,45,90,65,75,80
24669726121,669726121,P C MEDICAL CENTRE PTY LTD,Peel connolly medical centre,Australian Private Company,Wannanup,Mandurah,Perth - South West,WA,6210,8511,General Practice Medical Services,medical,ACT,2,35,90,80,45,90,65,75,80
36607697227,607697227,CARE 'N' CURE HEALTH PTY LTD,SOUTH PERTH FAMILY DOCTORS,Australian Private Company,South Perth Angelo St,Victoria Park,Perth - South West,WA,6151,8511,General Practice Medical Services,medical,ACT,10,35,90,80,45,90,65,75,80
12511039673,,CHRIS TIMMS,CHRISTOPHER N TIMMS,Individual/Sole Trader,Furnissdale,Murray,Western Australia - Wheat Belt,WA,6209,8511,General Practice Medical Services,medical,ACT,10,35,90,80,40,85,65,70,80
