abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
63293047669,,The Trustee for Akbary Family Trust,Hillside Painting Services,Discretionary Trading Trust,Forrestfield,Kalamunda,Perth - South West,WA,6058,3432,Painting & Decorating,painting,ACT,4,55,60,85,50,75,80,75,65
47868266387,,TAYLOR REUBEN MILLSTEED,New level painting,Individual/Sole Trader,Yangebup,Cockburn,Perth - South West,WA,6164,3432,Painting & Decorating,painting,ACT,3,55,60,85,45,70,80,70,65
85330056652,,ALAN PROCTOR,DEC EFFECTS PROFESSIONAL PAINTER & DECORATOR,Individual/Sole Trader,Alkimos,Wanneroo,Perth - South West,WA,6038,3432,Painting & Decorating,painting,CAN,6,55,60,85,45,70,80,70,65
51896890968,,GRAHAM JOSEPH MOFFAT,MOFFAT AND CO TILING,Individual/Sole Trader,Southern River,Gosnells,Perth - South West,WA,6110,3432,Painting & Decorating,painting,CAN,3,55,60,85,45,70,80,70,65
12454748961,,IRFAN HUSSAIN SHAFAI,A1 PAINTING AND DECORATION,Individual/Sole Trader,Southern River,Gosnells,Perth - South West,WA,6110,3432,Painting & Decorating,painting,NON,2,55,60,85,45,70,80,70,65
20188396341,,MATTHEW DARREN JOHNSON,MATT JOHNS0N,Individual/Sole Trader,East Victoria Park,Victoria Park,Perth - South West,WA,6101,3432,Painting & Decorating,painting,ACT,9,55,60,85,45,70,80,70,65
75853458412,,JOHN CHRISTOPHER WHALLEY,JC WHALLEY PAINTING SERVICES,Individual/Sole Trader,Yebble,Nannup,Western Australia - Outback (South),WA,6285,3432,Painting & Decorating,painting,CAN,26,55,60,85,45,70,80,70,65
21816445106,,MOHAMMAD RAHIM KARIMI,All 4 Painting & Services,Individual/Sole Trader,Wilson,Kalamunda,Perth - South West,WA,6107,3432,Painting & Decorating,painting,ACT,10,55,60,85,45,70,80,70,65
87113571606,,The Trustee for O'Dwyer Investment Trust,O'DWYER'S PAINTING SERVICE,Discretionary Trading Trust,Winnejup,Boyup Brook,Western Australia - Outback (South),WA,6255,3432,Painting & Decorating,painting,ACT,5,55,60,85,50,75,80,75,65
89614539945,614539945,PERKINS INDIGENOUS PAINTING PTY LTD,,Australian Private Company,Waterbank,Derby-West Kimberley,Western Australia - Outback (South),WA,6725,3432,Painting & Decorating,painting,CAN,9,55,60,85,50,75,80,75,65
