abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
46057049082,057049082,D & D CHRISTOU NOMINEES PTY LTD,AUSTPEST PEST & WEED SERVICES,Australian Private Company,North Perth,Vincent,Perth - South West,WA,6006,7320,Pest Control Services,pest_control,NON,26,60,95,90,45,75,80,80,85
36357947783,,MAJED YOUSSEF,RECON PEST SOLUTIONS,Individual/Sole Trader,Southern River,Gosnells,Perth - South West,WA,6110,7320,Pest Control Services,pest_control,ACT,0,60,95,90,40,70,80,75,85
61755388614,,LR & EG HILL,RICHILL PEST CONTROL,Family Partnership,Woodlands,Stirling,Perth - South West,WA,6018,7320,Pest Control Services,pest_control,ACT,26,60,95,90,45,75,80,80,85
56592363051,,The Trustee for SUPA GROUP DISCRETIONARY TRUST,AA SUPA PEST & WEED CONTROL,Discretionary Investment Trust,Welshpool Dc,Belmont,Perth - South West,WA,6106,7320,Pest Control Services,pest_control,ACT,26,60,95,90,45,75,80,80,85
74108055453,,MARK HAYNES,Distinctive Pest Management,Individual/Sole Trader,South Hedland,Port Hedland,Western Australia - Outback (South),WA,6722,7320,Pest Control Services,pest_control,CAN,4,60,95,90,40,70,80,75,85
27677125905,677125905,MAKEABLE SUPPORTS AND SERVICES PTY LTD,Bug Free Pest Solutions,Australian Private Company,Wungong,Armadale,Perth - South West,WA,6112,7320,Pest Control Services,pest_control,ACT,2,60,95,90,45,75,80,80,85
44987270656,,PHILLIP MOORE,No Moore Pest,Individual/Sole Trader,Tamala Park,Wanneroo,Perth - South West,WA,6030,7320,Pest Control Services,pest_control,ACT,12,60,95,90,40,70,80,75,85
68695658149,695658149,VERTEBRATE PEST MANAGEMENT INTERNATIONAL PTY LTD,,Australian Private Company,Yardarino,Irwin,Western Australia - Outback (South),WA,6525,7320,Pest Control Services,pest_control,ACT,0,60,95,90,45,75,80,80,85
41668334552,,Blackwood Biosecurity Inc,DECLARED PEST ASSIST,Other Incorporated Entity,Winnejup,Boyup Brook,Western Australia - Outback (South),WA,6255,7320,Pest Control Services,pest_control,ACT,11,60,95,90,40,70,80,75,85
40865223915,,CHLOE ANNE MILLER,Deadset Pest and Wildlife Services,Individual/Sole Trader,Morangup,Mundaring,Western Australia - Wheat Belt,WA,6083,7320,Pest Control Services,pest_control,NON,0,60,95,90,40,70,80,75,85
