abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
80674204883,674204883,FIDGE PLUMBING PTY LTD,FIDGE PLUMBING,Australian Private Company,Inglewood,Stirling,Perth - South West,WA,6052,3411,Plumbing Services,plumbing,ACT,2,80,95,85,65,95,90,95,100
21655168899,655168899,MARCHANT PLUMBING AND GAS WA PTY LTD,,Australian Private Company,Padbury,Joondalup,Perth - South West,WA,6025,3411,Plumbing Services,plumbing,ACT,4,80,95,85,65,95,90,95,100
64688641280,,The Trustee for XR & SS Li Family Trust,Li's Plumbing and Gas,Discretionary Investment Trust,Willetton,Melville,Perth - South West,WA,6155,3411,Plumbing Services,plumbing,ACT,11,80,95,85,65,95,90,95,100
87819227806,,COREY MUIRHEAD,Indian Ocean Plumbing & Gas,Individual/Sole Trader,Singleton,Rockingham,Perth - South West,WA,6175,3411,Plumbing Services,plumbing,CAN,11,80,95,85,60,90,90,90,100
75123697286,,The Trustee for JA Trust,Exmouth Earthworks and Plumbing,Discretionary Investment Trust,North West Cape,Ashburton,Western Australia - Outback (South),WA,6707,3411,Plumbing Services,plumbing,ACT,0,80,95,85,65,95,90,95,100
29982847297,,JACOB ROLANDO LO PRESTI,LO PRESTI PLUMBING,Individual/Sole Trader,Subiaco East,Cambridge,Perth - South West,WA,6008,3411,Plumbing Services,plumbing,ACT,12,80,95,85,60,90,90,90,100
39148740662,,MARTIN JOHN PEARCE,ALBANY PLUMBERS,Individual/Sole Trader,Youngs Siding,Albany,Western Australia - Outback (South),WA,6330,3411,Plumbing Services,plumbing,ACT,26,80,95,85,60,90,90,90,100
49632578860,632578860,PERFORMANCE PLUMBING & GAS PTY LTD,,Australian Private Company,Perth Airport,Kalamunda,Perth - South West,WA,6105,3411,Plumbing Services,plumbing,ACT,7,80,95,85,65,95,90,95,100
40630689408,,The trustee for THE MATHEW WILSON FAMILY TRUST,Direct Plumbing and Gas,Discretionary Trading Trust,Oldbury,Serpentine-Jarrahdale,Perth - South West,WA,6121,3411,Plumbing Services,plumbing,ACT,16,80,95,85,65,95,90,95,100
35009409250,009409250,EQUATOR PLUMBING PTY LTD,,Australian Private Company,Teesdale,Boddington,Western Australia - Wheat Belt,WA,6213,3411,Plumbing Services,plumbing,CAN,26,80,95,85,65,95,90,95,100
