abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
95817401044,,RYAN JOHN HAYES,HIGHTEK METAL ROOFING,Individual/Sole Trader,Upper Swan,Swan,Western Australia - Wheat Belt,WA,6069,3411,Plumbing Services,roofing,ACT,12,75,65,80,70,90,95,80,75
47630847433,630847433,TIER ONE ROOFING PTY LTD,,Australian Private Company,West Swan,Mundaring,Perth - South West,WA,6055,3411,Plumbing Services,roofing,ACT,7,75,65,80,75,95,95,85,75
81612740824,612740824,FOX METAL ROOFING PTY LTD,FMR (WA),Australian Private Company,Spearwood,Fremantle,Perth - South West,WA,6163,3411,Plumbing Services,roofing,ACT,9,75,65,80,75,95,95,85,75
93650631495,650631495,ROOF TIE-DOWNS WA PTY LTD,,Australian Private Company,East Fremantle,East Fremantle,Perth - South West,WA,6158,3411,Plumbing Services,roofing,NON,4,75,65,80,75,95,95,85,75
58009362805,009362805,AUST ROOFING SERVICES PTY LTD,,Australian Private Company,Wilson,Kalamunda,Perth - South West,WA,6107,3411,Plumbing Services,roofing,ACT,26,75,65,80,75,95,95,85,75
99664962949,664962949,GOZA PTY LTD,Roof Rats,Australian Private Company,Yallingup Siding,Busselton,Western Australia - Wheat Belt,WA,6282,3411,Plumbing Services,roofing,ACT,3,75,65,80,75,95,95,85,75
69622739048,622739048,D.P. ROOF TILING PTY LTD,SAFETY RAIL (W.A.),Australian Private Company,Eglinton,Wanneroo,Perth - South West,WA,6034,3411,Plumbing Services,roofing,ACT,8,75,65,80,75,95,95,85,75
91525471307,,JOHN PETER FURSA,Gutters to gardens,Individual/Sole Trader,Inglewood,Stirling,Perth - South West,WA,6052,3411,Plumbing Services,roofing,NON,14,75,65,80,70,90,95,80,75
37621298799,621298799,ADVANCED ROOFING SOLUTIONS PTY LTD,,Australian Private Company,Tamala Park,Wanneroo,Perth - South West,WA,6030,3411,Plumbing Services,roofing,ACT,8,75,65,80,75,95,95,85,75
47523967959,,The Trustee for The Top Ridge Trust,TOP RIDGE METAL ROOFING,Discretionary Trading Trust,Cookernup,Harvey,Western Australia - Wheat Belt,WA,6219,3411,Plumbing Services,roofing,ACT,2,75,65,80,75,95,95,85,75
