abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
43683194934,683194934,WATCHTOWER SECURITY PTY LTD,,Australian Private Company,Malaga,Swan,Perth - South West,WA,6090,3429,Other Building Installation,security_installers,ACT,1,65,85,80,45,80,75,80,95
58104914892,104914892,A & E MICHAEL PTY LTD,Anthony Michael Constructions,Australian Private Company,Stirling,Stirling,Perth - South West,WA,6021,3429,Other Building Installation,security_installers,ACT,22,65,85,80,45,80,75,80,95
55424243582,,The Trustee for The Narasimha Swamy Family Trust,NIGHTGUARD SECURITY SERVICE SW,Discretionary Trading Trust,Withers,Dardanup,Western Australia - Wheat Belt,WA,6230,3429,Other Building Installation,security_installers,ACT,3,65,85,80,45,80,75,80,95
75367651230,,The trustee for The Herrmann Family Trust,ACCESS 1 SECURITY SYSTEMS,Discretionary Trading Trust,Malaga,Swan,Perth - South West,WA,6090,3429,Other Building Installation,security_installers,ACT,20,65,85,80,45,80,75,80,95
50174627221,,JOHANN PRANDL,The Lock Man Security,Individual/Sole Trader,Wuraming,Murray,Western Australia - Outback (South),WA,6390,3429,Other Building Installation,security_installers,ACT,8,65,85,80,40,75,75,75,95
80167572563,167572563,FIVE E'S PTY LTD,Bubbles & Suds Laundrette,Australian Private Company,Wongamine,Goomalling,Western Australia - Outback (South),WA,6401,3429,Other Building Installation,security_installers,ACT,11,65,85,80,45,80,75,80,95
93901554316,,MARK VOCE,Sensortag Services,Individual/Sole Trader,Secret Harbour,Rockingham,Perth - South West,WA,6173,3429,Other Building Installation,security_installers,ACT,22,65,85,80,40,75,75,75,95
40160360430,160360430,BAAZ SECURITY SERVICES PTY LTD,,Australian Private Company,East Perth,Vincent,Perth - South West,WA,6004,3429,Other Building Installation,security_installers,ACT,13,65,85,80,45,80,75,80,95
21652848121,652848121,TNS ACCESS & SECURITY SOLUTIONS PTY LTD,GOLDFIELDS LOCKSMITHS,Australian Private Company,Yilkari,Kalgoorlie-Boulder,Western Australia - Outback (South),WA,6430,3429,Other Building Installation,security_installers,ACT,4,65,85,80,45,80,75,80,95
61575294337,,DAVID GIBBS,RHL Business Consultants,Individual/Sole Trader,Yebble,Nannup,Western Australia - Outback (South),WA,6285,3429,Other Building Installation,security_installers,NON,1,65,85,80,40,75,75,75,95
