abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
47689067738,,The Trustee for The David Pearce Trust,Mine Engineering Solutions,Discretionary Trading Trust,Rivervale,Belmont,Perth - South West,WA,6103,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,7,75,50,60,80,85,95,85,75
24304735238,,SCOTT JAMES TIMMINS,ESPERANCE HEMP MASONRY,Individual/Sole Trader,Windabout,Ravensthorpe,Western Australia - Outback (South),WA,6450,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,2,75,50,60,75,80,95,80,75
52663066895,663066895,BULLHEAD ENGINEERING PTY LTD,,Australian Private Company,Spearwood,Fremantle,Perth - South West,WA,6163,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,3,75,50,60,80,85,95,85,75
77616301037,,The Trustee for Miller Family Trust,DAM FABRICATION,Discretionary Trading Trust,Yangebup,Cockburn,Perth - South West,WA,6164,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,11,75,50,60,80,85,95,85,75
68696523154,696523154,ALTRUIST INNOVATIVE ENGINEERING SERVICES PTY LTD,,Australian Private Company,Parkwood,Gosnells,Perth - South West,WA,6147,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,0,75,50,60,80,85,95,85,75
60669401067,669401067,PEAKVIEW ENGINEERING PTY LTD,,Australian Private Company,Spearwood,Fremantle,Perth - South West,WA,6163,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,2,75,50,60,80,85,95,85,75
22604008764,604008764,BOW STEEL PTY LTD,,Australian Private Company,Mundaring Weir,Mundaring,Perth - South West,WA,6073,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,11,75,50,60,80,85,95,85,75
34671094223,671094223,COASTAL FABRICATION AND WELDING SERVICES PTY LTD,,Australian Private Company,Wannanup,Mandurah,Perth - South West,WA,6210,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,2,75,50,60,80,85,95,85,75
14394856852,,TIMOTHY STJOHN SPICER,MAXI RACKS,Individual/Sole Trader,Yoongarillup,Capel,Western Australia - Wheat Belt,WA,6280,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,2,75,50,60,75,80,95,80,75
81083202055,083202055,LORDES ENGINEERING PTY LTD,,Australian Private Company,Ocean Reef,Wanneroo,Perth - South West,WA,6027,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,26,75,50,60,80,85,95,85,75
